target,feature,n_group_0,n_group_1,mean_group_0,mean_group_1,median_group_0,median_group_1,std_group_0,std_group_1,mean_difference,median_difference,t_stat,p_value,cohen_d,effect_magnitude,direction,p_fdr,significant_fdr
correct,memory_cond,1059,20008,5.547686496694995,4.984306277489004,5.0,5.0,1.6087960696969361,1.6231547946933282,-0.5633802192059907,0.0,-11.100778622748548,2.6822666434454668e-27,-0.3472432767384936,small,negative,1.5020693203294614e-25,True
correct,beta_temporal,1059,20008,0.2828101388752191,0.3891441210972583,0.206783283865517,0.23369315967846885,0.30391053709978477,0.4976273015655859,0.10633398222203921,0.026909875812951844,10.65512627192095,1.576156117433395e-25,0.21712827579302477,small,positive,4.4132371288135055e-24,True
correct,gamma_temporal,1059,20008,0.11352320116820798,0.19601990758759075,0.0502662104444622,0.06370381419275206,0.2436388360371496,0.3720842005226344,0.08249670641938277,0.01343760374828986,10.395890960129725,2.147591775797726e-24,0.22496588940327358,small,positive,4.008837981489088e-23,True
correct,alpha_beta_central_ratio,1059,20008,5.299144305615401,6.357961033562,3.521261533380698,4.138613145108845,5.161119958255464,6.757474720909835,1.0588167279465992,0.6173516117281475,6.392419431964029,2.29537880609731e-10,0.15835393415106386,negligible,positive,2.7374404943671806e-09,True
correct,beta_parietal,1059,20008,0.29744655119314456,0.3525618731700325,0.2495184071224784,0.26160030814502633,0.26858725071038825,0.35948278714547877,0.055115321976887954,0.012081901022547942,6.3821137096553135,2.4441432985421256e-10,0.1550481442910112,negligible,positive,2.7374404943671806e-09,True
correct,theta_rel,1059,20008,0.2325931932349373,0.25733157183895344,0.2111697214930472,0.2350614114945201,0.12502633110249914,0.12758608622636566,0.024738378604016148,0.0238916900014729,6.268550715813226,5.104154664632964e-10,0.19408929638498026,negligible,positive,4.763877686990766e-09,True
correct,theta_central,1059,20008,1.0610205353673916,1.4103416282087649,0.5948337066072213,0.658484406128965,1.7628110542308992,2.3101343992417656,0.34932109284137325,0.06365069952174363,6.1741178369680165,8.960583513350943e-10,0.15282406478601773,negligible,positive,7.1684668106807546e-09,True
correct,delta_rel,1059,20008,0.45013301210800816,0.4106648975537708,0.4244882018453266,0.3894971039191753,0.20658495461483353,0.1885324429335318,-0.03946811455423738,-0.03499109792615129,-6.084546916966268,1.587265517897595e-09,-0.208296811598445,small,negative,1.1110858625283166e-08,True
correct,alpha_central,1059,20008,1.023787324842088,1.3151591300007113,0.4880617107911881,0.5945635151894912,1.5643378036978308,1.8967972388876284,0.2913718051586234,0.10650180439830315,5.838381936701799,6.7387384238446964e-09,0.15486136228228387,negligible,positive,4.1929927970589225e-08,True
correct,gamma_parietal,1059,20008,0.06522398002104908,0.0787938423540967,0.0490626903487014,0.0581455403515245,0.07380016399767408,0.11076344354908514,0.01356986233304762,0.0090828500028231,5.655971644811494,1.896396451502325e-08,0.12425958281513866,negligible,positive,1.0619820128413021e-07,True
correct,theta_temporal,1059,20008,1.2643126007221177,1.5751647756613032,0.7803062038442103,0.7870941391326471,1.959280515528048,2.7729473455585176,0.3108521749391855,0.006787935288436797,4.909350561482224,1.0302754697184571e-06,0.11353861332455607,negligible,positive,5.245038754930327e-06,True
correct,theta_abs,1059,20008,1.7327137941335682,2.1555454486274814,0.9485327460233196,1.1286646587206688,2.703123212520705,3.450766361039049,0.42283165449391324,0.18013191269734918,4.884087561688353,1.1737778450184356e-06,0.12373920801867697,negligible,positive,5.477629943419366e-06,True
correct,theta_parietal,1059,20008,2.305587252193009,2.9308820045937525,1.0445502415118426,1.3325680341355033,4.162152707768499,5.290287353976438,0.6252947524007433,0.2880177926236607,4.692431300025166,2.9978949276849033e-06,0.11934419877499643,negligible,positive,1.2914008919258045e-05,True
correct,alpha_beta_frontal_ratio,1059,20008,3.3967312878888962,3.9892574387109416,2.06947738889579,2.5734395213353807,4.438216522700676,4.552452781254413,0.5925261508220454,0.5039621324395909,4.228429588160011,2.5352812416893975e-05,0.13031764743675012,negligible,positive,0.0001014112496675759,True
correct,alpha_beta_parietal_ratio,1059,20008,7.559328819946231,8.542842623178089,5.407454733288842,5.896268726534624,7.37934077319379,8.219609024502853,0.9835138032318582,0.488813993245782,4.2014551879526065,2.8482516364955957e-05,0.12024182180231799,negligible,positive,0.00010633472776250224,True
correct,theta_frontoparietal_ratio,1059,20008,0.9615093347282855,0.8656380938191695,0.7608401254501825,0.6811663013591982,0.7358048103993945,0.6634199380077775,-0.09587124090911603,-0.07967382409098434,-4.151699087112564,3.543647850067478e-05,-0.1436826853394754,negligible,negative,0.00012402767475236173,True
correct,alpha_rel,1059,20008,0.21555805916212645,0.23308848688687087,0.1899507481693337,0.20568888091382226,0.13570527012775654,0.13541805811387642,0.01753042772474442,0.01573813274448857,4.0972308203592664,4.4687129872806026e-05,0.12944033361853083,negligible,positive,0.0001465080516652832,True
correct,delta_theta_ratio,1059,20008,3.909952877027022,2.795376200752407,1.9583703402328687,1.6045465472467373,8.468209170134681,11.647272012623818,-1.1145766762746154,-0.3538237929861314,-4.083613705757981,4.709187374955531e-05,-0.09684756663645462,negligible,negative,0.0001465080516652832,True
correct,gamma_occipital,1059,20008,0.0999053705470938,0.11314548455662367,0.0805149667519542,0.08482959850485924,0.10233663984894856,0.12755923286568563,0.013240114009529874,0.004314631752905043,4.0471367137626,5.505991443534681e-05,0.10473737412400413,negligible,positive,0.00015416776041897107,True
correct,theta_occipital,1059,20008,2.573875777170403,3.225378560753268,1.2113182051748568,1.349802391002465,5.019496471107093,6.351574643893204,0.6515027835828651,0.13848418582760824,4.055453864697963,5.3146938140196856e-05,0.10355448316783956,negligible,positive,0.00015416776041897107,True
correct,theta_beta_ratio,1059,20008,5.493911954938681,6.291705080550554,3.4068693718544467,3.972222741917045,6.342670931742388,7.470614067283957,0.7977931256118733,0.5653533700625983,3.950751104674228,8.237550091956377e-05,0.1075474890702915,negligible,positive,0.00021966800245217007,True
correct,theta_frontoparietal_diff,1059,20008,-0.6745373228121586,-0.9753159822255483,-0.109844360947468,-0.25132473045393977,2.444583008276121,3.0955002433260517,-0.30077865941338966,-0.14148036950647178,-3.8441625597349116,0.00012707641278517364,-0.09809795434147671,negligible,negative,0.00032346723254407837,True
correct,alpha_beta_ratio,1059,20008,4.44795868236746,4.986200218096953,3.058741327547175,3.4700837928184556,4.789411469669871,4.825895982705115,0.538241535729493,0.4113424652712805,3.562678697729061,0.00038180012791908815,0.11157415279880198,negligible,positive,0.000929600311455171,True
correct,alpha_temporal,1059,20008,1.1847106409695654,1.3850773742871143,0.613016713714967,0.6987007341947108,1.8932778125475511,2.0057432285320704,0.20036673331754895,0.08568402047974377,3.3460196590070606,0.0008454520741474651,0.100171074318177,negligible,positive,0.0019727215063440853,True
correct,gamma_frontoparietal_ratio,1059,20008,4.2350290522799945,3.655334085047504,2.5288686630490886,1.6797818921195058,5.570120996384805,5.1995690760825415,-0.5796949672324905,-0.8490867709295828,-3.3112497799609337,0.000957461276516312,-0.11107804477611945,negligible,negative,0.002062224287881287,True
correct,delta_central,1059,20008,1.9520497915337742,1.5912508099177396,1.1361888343582678,1.0255257170346581,3.4805847153955543,2.655394016256188,-0.36079898161603463,-0.11066311732360967,-3.3225570645943896,0.0009206806685264851,-0.13348808645542196,negligible,negative,0.002062224287881287,True
correct,alpha_abs,1059,20008,1.5920737336602493,1.865859962254428,0.8401587647960757,0.9797968310771468,2.721546304423211,2.7053411347045615,0.2737862285941788,0.13963806628107112,3.1913466946431046,0.0014537383306108182,0.10117158464211981,negligible,positive,0.0029074766612216365,True
correct,delta_frontoparietal_diff,1059,20008,3.052979816942811,1.5334688735747906,0.0001085160439868,-2.993234881037919e-05,15.25456706114462,10.8934484372506,-1.5195109433680203,-0.0001384483927971792,-3.1986634691713904,0.001419516954612861,-0.13623947418522953,negligible,negative,0.0029074766612216365,True
correct,alpha_frontal,1059,20008,1.0837893013379056,1.2599437016328603,0.5857865071314567,0.6666552918051607,1.7635959279661237,1.7708221704455092,0.17615440029495466,0.08086878467370395,3.16703792214339,0.0015796926762239943,0.099496406033894,negligible,positive,0.0029946881408546545,True
correct,beta_frontoparietal_diff,1059,20008,0.07940844993083616,0.02686122564656896,0.0011127848488406,-1.7155367644342447e-05,0.5328531183440398,0.39776754060307945,-0.052547224284267204,-0.0011299402164849425,-3.162847891094436,0.0016042972183149934,-0.12954576660584732,negligible,negative,0.0029946881408546545,True
correct,beta_abs,1059,20008,0.3275863027432677,0.3600098331015069,0.2922746307325617,0.30052690399903376,0.3298249717884696,0.3314115275293761,0.032423530358239194,0.008252273266472043,3.116879384107149,0.0018721550892285212,0.09785812444663916,negligible,positive,0.0033819575805418447,True
correct,delta_parietal,1059,20008,3.772238194453728,3.040661491318321,1.887914082660357,1.7248836295874828,7.701455738626258,5.933544521495236,-0.7315767031354068,-0.16303045307287434,-3.0438112879916424,0.0023902415828268016,-0.12122825404807414,negligible,negative,0.004182922769946903,True
correct,beta_central,1059,20008,0.18801374286716538,0.20399155434476252,0.1610269466849665,0.16793491995955068,0.16959531344635587,0.20899066237915231,0.015977811477597137,0.006907973274584173,2.949607716160606,0.0032417313755826113,0.07711643188790583,negligible,positive,0.0055011199100795825,True
correct,delta_abs,1059,20008,5.385088971526914,3.9411313879280176,1.9447458753481093,1.8532234972235948,15.904127973746235,10.633306405815068,-1.443957583598896,-0.09152237812451447,-2.9202144897790414,0.0035686951792311848,-0.13176394344120887,negligible,negative,0.005877850883439598,True
correct,alpha_beta_occipital_ratio,1059,20008,7.870757976968185,8.77865311202578,4.412732252026363,4.914993844084384,9.901325432287116,11.719703108991842,0.9078951350575943,0.5022615920580202,2.8791010796211967,0.004057691326537321,0.07803034756554207,negligible,positive,0.006492306122459714,True
correct,beta_frontoparietal_ratio,1059,20008,1.7679985410962407,1.5891910824230326,1.2462087316533097,0.9353212057919229,2.040134848192246,2.034047795105387,-0.17880745867320802,-0.3108875258613868,-2.7799710774218607,0.005523340611299972,-0.08789397649070357,negligible,negative,0.00859186317313329,True
correct,beta_occipital,1059,20008,0.43461507026335644,0.47157633723708653,0.329553108125756,0.33459178974347664,0.4443441825152349,0.5407349907374094,0.03696126697373009,0.005038681617720642,2.6066864955924167,0.009252837907202008,0.06891810299672176,negligible,positive,0.014004295210900335,True
correct,theta_alpha_occipital_ratio,1059,20008,1.6724515781258793,1.8355614994810998,0.9802415310623648,0.984306794289503,2.1677093235953855,2.9412567251459247,0.1631099213552205,0.004065263227138183,2.3374163967642576,0.019571789121652725,0.05610322472936602,negligible,positive,0.028842636600330332,True
correct,delta_frontoparietal_ratio,1059,20008,1.3653281424165298,1.2958002906109467,1.0237731642555958,0.9829777258862789,1.0157831784273434,1.22007255979228,-0.06952785180558307,-0.04079543836931698,-2.146975824099827,0.03199097209039316,-0.0574309172897982,negligible,negative,0.045935754796461975,True
correct,theta_alpha_parietal_ratio,1059,20008,1.3583158108832687,1.4445347780083753,0.992819805539837,1.024125753667016,1.2802850254454379,1.5407776410381198,0.08621896712510657,0.03130594812717913,2.112054858077687,0.03488356329701314,0.05639822045935098,negligible,positive,0.0488369886158184,True
correct,alpha_frontoparietal_diff,1059,20008,-1.6191819604859878,-1.864980307351118,-0.4925413445312691,-0.5953570809919919,3.796129585138073,3.8237206916547475,-0.24579834686513014,-0.10281573646072284,-2.0527081569515913,0.040322068421771405,-0.06430573114973769,negligible,negative,0.055074044673638994,False
