target,feature,n_subjects,mean_subject_effect,median_subject_effect,subject_std,positive_fraction,negative_fraction,directional_consistency,subject_t_stat,subject_p_value,subject_p_fdr
remember,memory_cond,22,0.031974305913632255,-0.18477427334570162,0.9489340852718868,0.36363636363636365,0.6363636363636364,0.6363636363636364,0.15804342018523476,0.8759324545621284,0.942541218625936
remember,delta_abs,22,-0.13966974178505445,0.00172551434556807,1.5893247513603754,0.5,0.5,0.5,-0.41219339060714344,0.6843750377313034,0.942541218625936
remember,theta_abs,22,-0.07691491602844817,0.0489110146631514,0.41042950994073957,0.5909090909090909,0.4090909090909091,0.5909090909090909,-0.8789887802108046,0.38935464095499434,0.942541218625936
remember,alpha_abs,22,-0.04091028256176233,0.009710544931321452,0.2663756728363334,0.6363636363636364,0.36363636363636365,0.6363636363636364,-0.7203594533364857,0.47924602012434414,0.942541218625936
remember,beta_abs,22,0.0033768333886120758,0.001498547084319037,0.0223994297206871,0.5454545454545454,0.45454545454545453,0.5454545454545454,0.7071051692720587,0.48727433924018293,0.942541218625936
remember,gamma_abs,22,0.0027448095300767164,0.003196619299855555,0.017529523998760736,0.5909090909090909,0.4090909090909091,0.5909090909090909,0.7344351095041447,0.4708055800337953,0.942541218625936
remember,delta_rel,22,0.0023955403353733973,0.0014318181473285674,0.016979282499009363,0.5454545454545454,0.45454545454545453,0.5454545454545454,0.6617523527854398,0.5153263633049269,0.942541218625936
remember,theta_rel,22,-0.0022813723680282986,-0.0006478284998784334,0.013413187154486044,0.45454545454545453,0.5454545454545454,0.5454545454545454,-0.7977660183058591,0.4339351003086469,0.942541218625936
remember,alpha_rel,22,-0.0003021229807786559,0.00023685140221911538,0.013169414988378484,0.5454545454545454,0.45454545454545453,0.5454545454545454,-0.10760405011912531,0.9153312180324423,0.942541218625936
remember,beta_rel,22,0.00012084581722567834,0.0006731855484742762,0.002411742497214234,0.5454545454545454,0.45454545454545453,0.5454545454545454,0.23502389922588546,0.8164667567176674,0.942541218625936
remember,gamma_rel,22,6.710919620790612e-05,0.0002891513407010152,0.0015627930240605101,0.5454545454545454,0.45454545454545453,0.5454545454545454,0.20141504772320887,0.8423122407323541,0.942541218625936
remember,theta_alpha_ratio,22,0.021019129387266175,0.0070028877095921205,0.08950207803663965,0.5454545454545454,0.45454545454545453,0.5454545454545454,1.101521416021667,0.283135305431341,0.942541218625936
remember,theta_beta_ratio,22,-0.10222154938088446,0.03074998961586184,0.9182705751720481,0.5909090909090909,0.4090909090909091,0.5909090909090909,-0.5221353914338778,0.6070405117111296,0.942541218625936
remember,alpha_beta_ratio,22,-0.07199872527311771,0.00013896689061665413,0.4833907313441115,0.5,0.5,0.5,-0.6986148757325413,0.49245772800169835,0.942541218625936
remember,delta_theta_ratio,22,-0.30793952406844055,-0.03322045847949762,1.4149626525318755,0.4090909090909091,0.5909090909090909,0.5909090909090909,-1.020779166275982,0.31897549123370966,0.942541218625936
remember,alpha_frontal,22,-0.024949193246150712,0.033575981578430614,0.1545308232550085,0.5909090909090909,0.4090909090909091,0.5909090909090909,-0.7572734470165502,0.457299516149813,0.942541218625936
remember,beta_frontal,22,-0.0005802490497868687,0.005584411446428517,0.03244768195459981,0.6818181818181818,0.3181818181818182,0.6818181818181818,-0.08387684801493443,0.9339487908774418,0.942541218625936
remember,gamma_frontal,22,-0.0017939118238379523,0.0025361595432170647,0.029561758344443353,0.5454545454545454,0.45454545454545453,0.5454545454545454,-0.28463098142620186,0.7787147991826371,0.942541218625936
remember,delta_central,22,-0.04330136294338167,-6.47085458017152e-05,0.3074248706088558,0.45454545454545453,0.5454545454545454,0.5454545454545454,-0.6606537550759272,0.5160168835961172,0.942541218625936
remember,theta_central,22,-0.040699999065835865,0.008968404841242783,0.21713478514501888,0.5454545454545454,0.45454545454545453,0.5454545454545454,-0.8791770370449771,0.3892548983698977,0.942541218625936
