target,feature,mean_coefficient,std_coefficient,mean_abs_coefficient,std_abs_coefficient,mean_permutation_importance,std_permutation_importance,mean_permutation_importance_std,coefficient_sign_consistency,positive_fraction,negative_fraction,folds_available,stable_direction,mean_abs_permutation_importance,stability_score,scientific_ml_rank
correct,theta_frontal,-0.9945910955294984,0.25084936960863613,0.9945910955294984,0.25084936960863613,-0.018624092057121382,0.06192610337783865,0.010345880460008975,1.0,0.0,1.0,5,True,0.018624092057121382,0.018624092057121382,1
correct,beta_temporal,0.40403094287615254,0.2076214202788359,0.40403094287615254,0.2076214202788359,0.016996485546260414,0.03294501244928348,0.007297765023380323,1.0,1.0,0.0,5,True,0.016996485546260414,0.016996485546260414,2
correct,beta_rel,0.07358649930582198,0.1937521794286744,0.1335790348078821,0.1483388855230202,-0.02104410757455832,0.03706332217341749,0.004591544551280993,0.8,0.8,0.2,5,True,0.02104410757455832,0.016835286059646657,3
correct,theta_parietal,-0.7241173875055096,0.18025946071636922,0.7241173875055096,0.18025946071636922,-0.01681932178097925,0.06747537569623675,0.009335882533781325,1.0,0.0,1.0,5,True,0.01681932178097925,0.01681932178097925,4
correct,delta_abs,-0.17635803828846452,0.5357834654612628,0.4684529525652092,0.2272254562962672,-0.02659424245057766,0.03727058417323111,0.006560133268504231,0.6,0.4,0.6,5,False,0.02659424245057766,0.015956545470346594,5
correct,beta_abs,-2.0831445195359994,0.792486768482954,2.0831445195359994,0.792486768482954,-0.012818166826414623,0.05095111135781618,0.015576404188646148,1.0,0.0,1.0,5,True,0.012818166826414623,0.012818166826414623,6
correct,theta_beta_ratio,-0.151581939195263,0.06346022717849625,0.151581939195263,0.06346022717849625,-0.012007389249929582,0.02956192794002479,0.0036268013863723276,1.0,0.0,1.0,5,True,0.012007389249929582,0.012007389249929582,7
correct,gamma_central,-0.6079201270608653,0.20017598429197916,0.6079201270608653,0.20017598429197916,0.011719797636887698,0.035982662049164185,0.005851477434809088,1.0,0.0,1.0,5,True,0.011719797636887698,0.011719797636887698,8
correct,theta_alpha_frontal_ratio,0.020440198020547473,0.1715143790352688,0.12916189895422076,0.0953201928131046,-0.013258892278473714,0.024618606527485855,0.0030494050432671345,0.8,0.8,0.2,5,True,0.013258892278473714,0.010607113822778971,9
correct,gamma_abs,2.5447222210881604,1.2191718510538347,2.5447222210881604,1.2191718510538347,0.010600707241233145,0.05325721189135346,0.015911600236828367,1.0,1.0,0.0,5,True,0.010600707241233145,0.010600707241233145,10
correct,gamma_frontoparietal_diff,-0.765583516166045,0.42088513873531536,0.765583516166045,0.42088513873531536,0.00959898916637798,0.01691148078075007,0.009376796522757207,1.0,0.0,1.0,5,True,0.00959898916637798,0.00959898916637798,11
correct,theta_alpha_ratio,-0.1751907432873509,0.33994275691700443,0.30907442690922127,0.18578770663238792,0.011315210780494234,0.016282333457379283,0.00465150691996549,0.8,0.2,0.8,5,True,0.011315210780494234,0.009052168624395387,12
correct,alpha_beta_parietal_ratio,0.43066300377271416,0.20730297783135404,0.43066300377271416,0.20730297783135404,0.00859141571290026,0.04231479291835013,0.009536061971853372,1.0,1.0,0.0,5,True,0.00859141571290026,0.00859141571290026,13
