subject,session,run,source_file,duration,latency,letter,memory_cond,sample,task_role,trial,type,urevent,value
sub-018,ses-01,run-1,sub-018_ses-01_task-WorkingMemory_run-1_eeg.set,2508.7,4725.0,+,3,4725,fixate,1,show_cross,1.0,nonWM
sub-018,ses-01,run-1,sub-018_ses-01_task-WorkingMemory_run-1_eeg.set,608.45,7342.718878,J,3,7343,to_ignore,1,show_letter,2.0,gJ
sub-018,ses-01,run-1,sub-018_ses-01_task-WorkingMemory_run-1_eeg.set,608.4,8059.7020811,C,3,8060,to_ignore,1,show_letter,3.0,gC
sub-018,ses-01,run-1,sub-018_ses-01_task-WorkingMemory_run-1_eeg.set,608.45,8776.635271449999,L,3,8777,to_ignore,1,show_letter,4.0,gL
sub-018,ses-01,run-1,sub-018_ses-01_task-WorkingMemory_run-1_eeg.set,608.45,9493.6184746,S,3,9494,to_remember,1,show_letter,5.0,S
sub-018,ses-01,run-1,sub-018_ses-01_task-WorkingMemory_run-1_eeg.set,608.45,10210.5516649,G,3,10211,to_remember,1,show_letter,6.0,G
sub-018,ses-01,run-1,sub-018_ses-01_task-WorkingMemory_run-1_eeg.set,608.45,10927.53486805,V,3,10928,to_remember,1,show_letter,7.0,V
sub-018,ses-01,run-1,sub-018_ses-01_task-WorkingMemory_run-1_eeg.set,608.4,11644.51807115,R,3,11645,to_ignore,1,show_letter,8.0,gR
sub-018,ses-01,run-1,sub-018_ses-01_task-WorkingMemory_run-1_eeg.set,608.45,12361.4512615,T,3,12361,to_ignore,1,show_letter,9.0,gT
sub-018,ses-01,run-1,sub-018_ses-01_task-WorkingMemory_run-1_eeg.set,1100.15,13078.434464650001,-,3,13078,work_memory,1,show_dash,10.0,WM
sub-018,ses-01,run-1,sub-018_ses-01_task-WorkingMemory_run-1_eeg.set,608.45,14287.2433388,V,3,14287,probe_target,1,show_letter,11.0,rV
sub-018,ses-01,run-1,sub-018_ses-01_task-WorkingMemory_run-1_eeg.set,0.0,14998.77514895,n/a,3,14999,remembered_correct,1,right_click,12.0,1
sub-018,ses-01,run-1,sub-018_ses-01_task-WorkingMemory_run-1_eeg.set,0.0,15198.926291450001,n/a,3,15199,feedback_correct,1,sound_beep,13.0,correct
sub-018,ses-01,run-1,sub-018_ses-01_task-WorkingMemory_run-1_eeg.set,0.0,18848.1087284,n/a,3,18848,indicate_ready,1,left_click,14.0,255
sub-018,ses-01,run-1,sub-018_ses-01_task-WorkingMemory_run-1_eeg.set,2508.75,18855.8106964,+,3,18856,fixate,2,show_cross,15.0,nonWM
sub-018,ses-01,run-1,sub-018_ses-01_task-WorkingMemory_run-1_eeg.set,608.4,21473.57958715,S,3,21474,to_ignore,2,show_letter,16.0,gS
sub-018,ses-01,run-1,sub-018_ses-01_task-WorkingMemory_run-1_eeg.set,608.45,22190.5127775,Z,3,22191,to_remember,2,show_letter,17.0,Z
sub-018,ses-01,run-1,sub-018_ses-01_task-WorkingMemory_run-1_eeg.set,608.45,22907.49598065,F,3,22907,to_remember,2,show_letter,18.0,F
sub-018,ses-01,run-1,sub-018_ses-01_task-WorkingMemory_run-1_eeg.set,608.45,23624.429171,D,3,23624,to_ignore,2,show_letter,19.0,gD
sub-018,ses-01,run-1,sub-018_ses-01_task-WorkingMemory_run-1_eeg.set,608.45,24341.4123741,G,3,24341,to_ignore,2,show_letter,20.0,gG
sub-018,ses-01,run-1,sub-018_ses-01_task-WorkingMemory_run-1_eeg.set,608.4,25058.395577249998,W,3,25058,to_remember,2,show_letter,21.0,W
sub-018,ses-01,run-1,sub-018_ses-01_task-WorkingMemory_run-1_eeg.set,608.45,25775.3287676,V,3,25775,to_ignore,2,show_letter,22.0,gV
sub-018,ses-01,run-1,sub-018_ses-01_task-WorkingMemory_run-1_eeg.set,608.45,26492.3119707,Q,3,26492,to_ignore,2,show_letter,23.0,gQ
sub-018,ses-01,run-1,sub-018_ses-01_task-WorkingMemory_run-1_eeg.set,1566.9,27209.29517385,-,3,27209,work_memory,2,show_dash,24.0,WM
sub-018,ses-01,run-1,sub-018_ses-01_task-WorkingMemory_run-1_eeg.set,516.75,28884.97334215,L,3,28885,probe_not_shown,2,show_letter,25.0,rL
sub-018,ses-01,run-1,sub-018_ses-01_task-WorkingMemory_run-1_eeg.set,0.0,29394.153447549998,n/a,3,29394,ignored_correct,2,left_click,26.0,255
sub-018,ses-01,run-1,sub-018_ses-01_task-WorkingMemory_run-1_eeg.set,0.0,29594.25457725,n/a,3,29594,feedback_correct,2,sound_beep,27.0,correct
sub-018,ses-01,run-1,sub-018_ses-01_task-WorkingMemory_run-1_eeg.set,0.0,31740.6530237,n/a,3,31741,indicate_ready,2,left_click,28.0,255
sub-018,ses-01,run-1,sub-018_ses-01_task-WorkingMemory_run-1_eeg.set,2508.7,31744.5040077,+,7,31745,fixate,3,show_cross,29.0,nonWM
sub-018,ses-01,run-1,sub-018_ses-01_task-WorkingMemory_run-1_eeg.set,608.45,34362.2228857,X,7,34362,to_remember,3,show_letter,30.0,X
sub-018,ses-01,run-1,sub-018_ses-01_task-WorkingMemory_run-1_eeg.set,608.4,35079.206088850005,C,7,35079,to_ignore,3,show_letter,31.0,gC
sub-018,ses-01,run-1,sub-018_ses-01_task-WorkingMemory_run-1_eeg.set,608.45,35796.13927915,J,7,35796,to_remember,3,show_letter,32.0,J
