subject,session,run,source_file,duration,latency,letter,memory_cond,sample,task_role,trial,type,urevent,value
sub-021,ses-01,run-3,sub-021_ses-01_task-WorkingMemory_run-3_eeg.set,2508.7,5165.0,+,5,5165,fixate,1,show_cross,1.0,nonWM
sub-021,ses-01,run-3,sub-021_ses-01_task-WorkingMemory_run-3_eeg.set,608.45,7782.719876300001,Z,5,7783,to_ignore,1,show_letter,2.0,gZ
sub-021,ses-01,run-3,sub-021_ses-01_task-WorkingMemory_run-3_eeg.set,608.4,8499.703352850001,W,5,8500,to_remember,1,show_letter,3.0,W
sub-021,ses-01,run-3,sub-021_ses-01_task-WorkingMemory_run-3_eeg.set,608.45,9216.63681665,T,5,9217,to_ignore,1,show_letter,4.0,gT
sub-021,ses-01,run-3,sub-021_ses-01_task-WorkingMemory_run-3_eeg.set,608.4,9933.6202932,R,5,9934,to_remember,1,show_letter,5.0,R
sub-021,ses-01,run-3,sub-021_ses-01_task-WorkingMemory_run-3_eeg.set,608.45,10650.553756950001,H,5,10651,to_remember,1,show_letter,6.0,H
sub-021,ses-01,run-3,sub-021_ses-01_task-WorkingMemory_run-3_eeg.set,608.45,11367.537233500001,L,5,11368,to_remember,1,show_letter,7.0,L
sub-021,ses-01,run-3,sub-021_ses-01_task-WorkingMemory_run-3_eeg.set,608.4,12084.5207101,D,5,12085,to_remember,1,show_letter,8.0,D
sub-021,ses-01,run-3,sub-021_ses-01_task-WorkingMemory_run-3_eeg.set,608.45,12801.45417385,J,5,12801,to_ignore,1,show_letter,9.0,gJ
sub-021,ses-01,run-3,sub-021_ses-01_task-WorkingMemory_run-3_eeg.set,1416.9,13518.4376504,-,5,13518,work_memory,1,show_dash,10.0,WM
sub-021,ses-01,run-3,sub-021_ses-01_task-WorkingMemory_run-3_eeg.set,416.7,15044.07806285,H,5,15044,probe_target,1,show_letter,11.0,rH
sub-021,ses-01,run-3,sub-021_ses-01_task-WorkingMemory_run-3_eeg.set,0.0,15453.932945,n/a,5,15454,remembered_correct,1,right_click,12.0,1
sub-021,ses-01,run-3,sub-021_ses-01_task-WorkingMemory_run-3_eeg.set,0.0,15654.084163799998,n/a,5,15654,feedback_correct,1,sound_beep,13.0,correct
sub-021,ses-01,run-3,sub-021_ses-01_task-WorkingMemory_run-3_eeg.set,0.0,18222.9415362,n/a,5,18223,indicate_ready,1,left_click,14.0,255
sub-021,ses-01,run-3,sub-021_ses-01_task-WorkingMemory_run-3_eeg.set,2500.4,18228.693008,+,3,18229,fixate,2,show_cross,15.0,nonWM
sub-021,ses-01,run-3,sub-021_ses-01_task-WorkingMemory_run-3_eeg.set,608.45,20838.11075975,G,3,20838,to_ignore,2,show_letter,16.0,gG
sub-021,ses-01,run-3,sub-021_ses-01_task-WorkingMemory_run-3_eeg.set,608.45,21555.09423635,L,3,21555,to_remember,2,show_letter,17.0,L
sub-021,ses-01,run-3,sub-021_ses-01_task-WorkingMemory_run-3_eeg.set,608.4,22272.077712899998,X,3,22272,to_remember,2,show_letter,18.0,X
sub-021,ses-01,run-3,sub-021_ses-01_task-WorkingMemory_run-3_eeg.set,608.45,22989.01117665,P,3,22989,to_ignore,2,show_letter,19.0,gP
sub-021,ses-01,run-3,sub-021_ses-01_task-WorkingMemory_run-3_eeg.set,608.4,23705.9946532,H,3,23706,to_ignore,2,show_letter,20.0,gH
sub-021,ses-01,run-3,sub-021_ses-01_task-WorkingMemory_run-3_eeg.set,608.45,24422.928117,M,3,24423,to_ignore,2,show_letter,21.0,gM
sub-021,ses-01,run-3,sub-021_ses-01_task-WorkingMemory_run-3_eeg.set,608.45,25139.911593549998,N,3,25140,to_remember,2,show_letter,22.0,N
sub-021,ses-01,run-3,sub-021_ses-01_task-WorkingMemory_run-3_eeg.set,608.4,25856.8950701,R,3,25857,to_ignore,2,show_letter,23.0,gR
sub-021,ses-01,run-3,sub-021_ses-01_task-WorkingMemory_run-3_eeg.set,1358.55,26573.8285339,-,3,26574,work_memory,2,show_dash,24.0,WM
sub-021,ses-01,run-3,sub-021_ses-01_task-WorkingMemory_run-3_eeg.set,366.75,28041.104010699997,Z,3,28041,probe_not_shown,2,show_letter,25.0,rZ
sub-021,ses-01,run-3,sub-021_ses-01_task-WorkingMemory_run-3_eeg.set,0.0,28402.24642725,n/a,3,28402,ignored_correct,2,left_click,26.0,255
sub-021,ses-01,run-3,sub-021_ses-01_task-WorkingMemory_run-3_eeg.set,0.0,28602.3476333,n/a,3,28602,feedback_correct,2,sound_beep,27.0,correct
sub-021,ses-01,run-3,sub-021_ses-01_task-WorkingMemory_run-3_eeg.set,0.0,30353.695804500003,n/a,3,30354,indicate_ready,2,left_click,28.0,255
sub-021,ses-01,run-3,sub-021_ses-01_task-WorkingMemory_run-3_eeg.set,2508.75,30358.74709715,+,3,30359,fixate,3,show_cross,29.0,nonWM
sub-021,ses-01,run-3,sub-021_ses-01_task-WorkingMemory_run-3_eeg.set,608.45,32976.46697345,H,3,32976,to_ignore,3,show_letter,30.0,gH
sub-021,ses-01,run-3,sub-021_ses-01_task-WorkingMemory_run-3_eeg.set,608.45,33693.450450000004,M,3,33693,to_remember,3,show_letter,31.0,M
sub-021,ses-01,run-3,sub-021_ses-01_task-WorkingMemory_run-3_eeg.set,608.4,34410.43392655,W,3,34410,to_ignore,3,show_letter,32.0,gW
sub-021,ses-01,run-3,sub-021_ses-01_task-WorkingMemory_run-3_eeg.set,608.45,35127.367390349995,N,3,35127,to_ignore,3,show_letter,33.0,gN
sub-021,ses-01,run-3,sub-021_ses-01_task-WorkingMemory_run-3_eeg.set,608.4,35844.3508669,G,3,35844,to_remember,3,show_letter,34.0,G
sub-021,ses-01,run-3,sub-021_ses-01_task-WorkingMemory_run-3_eeg.set,608.4,36561.33434345,B,3,36561,to_ignore,3,show_letter,35.0,gB
sub-021,ses-01,run-3,sub-021_ses-01_task-WorkingMemory_run-3_eeg.set,608.45,37278.2678072,T,3,37278,to_remember,3,show_letter,36.0,T
sub-021,ses-01,run-3,sub-021_ses-01_task-WorkingMemory_run-3_eeg.set,608.4,37995.2512838,L,3,37995,to_ignore,3,show_letter,37.0,gL
sub-021,ses-01,run-3,sub-021_ses-01_task-WorkingMemory_run-3_eeg.set,1033.5,38712.18474755,-,3,38712,work_memory,3,show_dash,38.0,WM
sub-021,ses-01,run-3,sub-021_ses-01_task-WorkingMemory_run-3_eeg.set,300.05,39854.327022549995,T,3,39854,probe_target,3,show_letter,39.0,rT
sub-021,ses-01,run-3,sub-021_ses-01_task-WorkingMemory_run-3_eeg.set,0.0,40150.602839700005,n/a,3,40151,remembered_correct,3,right_click,40.0,1
sub-021,ses-01,run-3,sub-021_ses-01_task-WorkingMemory_run-3_eeg.set,0.0,40350.704045750004,n/a,3,40351,feedback_correct,3,sound_beep,41.0,correct
sub-021,ses-01,run-3,sub-021_ses-01_task-WorkingMemory_run-3_eeg.set,0.0,40519.797316849996,n/a,3,40520,indicate_ready,3,left_click,42.0,255
sub-021,ses-01,run-3,sub-021_ses-01_task-WorkingMemory_run-3_eeg.set,2508.7,40521.2977008,+,3,40521,fixate,4,show_cross,43.0,nonWM
sub-021,ses-01,run-3,sub-021_ses-01_task-WorkingMemory_run-3_eeg.set,608.45,43139.0175771,P,3,43139,to_ignore,4,show_letter,44.0,gP
sub-021,ses-01,run-3,sub-021_ses-01_task-WorkingMemory_run-3_eeg.set,608.45,43856.00105365,M,3,43856,to_ignore,4,show_letter,45.0,gM
sub-021,ses-01,run-3,sub-021_ses-01_task-WorkingMemory_run-3_eeg.set,608.45,44572.934517400005,D,3,44573,to_remember,4,show_letter,46.0,D
sub-021,ses-01,run-3,sub-021_ses-01_task-WorkingMemory_run-3_eeg.set,608.45,45289.917994,Z,3,45290,to_ignore,4,show_letter,47.0,gZ
sub-021,ses-01,run-3,sub-021_ses-01_task-WorkingMemory_run-3_eeg.set,608.4,46006.90147055,B,3,46007,to_ignore,4,show_letter,48.0,gB
sub-021,ses-01,run-3,sub-021_ses-01_task-WorkingMemory_run-3_eeg.set,608.45,46723.8349343,R,3,46724,to_remember,4,show_letter,49.0,R
sub-021,ses-01,run-3,sub-021_ses-01_task-WorkingMemory_run-3_eeg.set,608.45,47440.81841085,N,3,47441,to_ignore,4,show_letter,50.0,gN
sub-021,ses-01,run-3,sub-021_ses-01_task-WorkingMemory_run-3_eeg.set,608.45,48157.75187465,G,3,48158,to_remember,4,show_letter,51.0,G
sub-021,ses-01,run-3,sub-021_ses-01_task-WorkingMemory_run-3_eeg.set,1425.25,48874.7353512,-,3,48875,work_memory,4,show_dash,52.0,WM
