subject,session,run,source_file,duration,latency,letter,memory_cond,sample,task_role,trial,type,urevent,value
sub-012,ses-01,run-1,sub-012_ses-01_task-WorkingMemory_run-1_eeg.set,1254.35,1023.0,+,3,1023,fixate,1,show_cross,1.0,nonWM
sub-012,ses-01,run-1,sub-012_ses-01_task-WorkingMemory_run-1_eeg.set,304.225,2331.522005025,J,3,2332,to_ignore,1,show_letter,2.0,gJ
sub-012,ses-01,run-1,sub-012_ses-01_task-WorkingMemory_run-1_eeg.set,304.2,2689.9211846999997,C,3,2690,to_ignore,1,show_letter,3.0,gC
sub-012,ses-01,run-1,sub-012_ses-01_task-WorkingMemory_run-1_eeg.set,304.225,3048.29536445,L,3,3048,to_ignore,1,show_letter,4.0,gL
sub-012,ses-01,run-1,sub-012_ses-01_task-WorkingMemory_run-1_eeg.set,304.225,3406.69454415,S,3,3407,to_remember,1,show_letter,5.0,S
sub-012,ses-01,run-1,sub-012_ses-01_task-WorkingMemory_run-1_eeg.set,304.2,3765.093723825,G,3,3765,to_remember,1,show_letter,6.0,G
sub-012,ses-01,run-1,sub-012_ses-01_task-WorkingMemory_run-1_eeg.set,304.225,4123.467903575,V,3,4123,to_remember,1,show_letter,7.0,V
sub-012,ses-01,run-1,sub-012_ses-01_task-WorkingMemory_run-1_eeg.set,304.2,4481.867083275,R,3,4482,to_ignore,1,show_letter,8.0,gR
sub-012,ses-01,run-1,sub-012_ses-01_task-WorkingMemory_run-1_eeg.set,304.225,4840.241263,T,3,4840,to_ignore,1,show_letter,9.0,gT
sub-012,ses-01,run-1,sub-012_ses-01_task-WorkingMemory_run-1_eeg.set,550.075,5198.6404427,-,3,5199,work_memory,1,show_dash,10.0,WM
sub-012,ses-01,run-1,sub-012_ses-01_task-WorkingMemory_run-1_eeg.set,170.875,5802.889059675,V,3,5803,probe_target,1,show_letter,11.0,rV
sub-012,ses-01,run-1,sub-012_ses-01_task-WorkingMemory_run-1_eeg.set,0.0,5972.263672,n/a,3,5972,remembered_correct,1,right_click,12.0,1
sub-012,ses-01,run-1,sub-012_ses-01_task-WorkingMemory_run-1_eeg.set,0.0,6072.313443,n/a,3,6072,feedback_correct,1,sound_beep,13.0,correct
sub-012,ses-01,run-1,sub-012_ses-01_task-WorkingMemory_run-1_eeg.set,0.0,6130.48830985,n/a,3,6130,indicate_ready,1,left_click,14.0,255
sub-012,ses-01,run-1,sub-012_ses-01_task-WorkingMemory_run-1_eeg.set,1254.375,6132.1133061499995,+,7,6132,fixate,2,show_cross,15.0,nonWM
sub-012,ses-01,run-1,sub-012_ses-01_task-WorkingMemory_run-1_eeg.set,304.2,7440.6603110999995,W,7,7441,to_remember,2,show_letter,16.0,W
sub-012,ses-01,run-1,sub-012_ses-01_task-WorkingMemory_run-1_eeg.set,304.225,7799.03449085,Z,7,7799,to_remember,2,show_letter,17.0,Z
sub-012,ses-01,run-1,sub-012_ses-01_task-WorkingMemory_run-1_eeg.set,304.2,8157.433670549999,V,7,8157,to_remember,2,show_letter,18.0,V
sub-012,ses-01,run-1,sub-012_ses-01_task-WorkingMemory_run-1_eeg.set,304.225,8515.807850275,D,7,8516,to_remember,2,show_letter,19.0,D
