subject,session,run,source_file,duration,latency,letter,memory_cond,sample,task_role,trial,type,urevent,value
sub-006,ses-01,run-4,sub-006_ses-01_task-WorkingMemory_run-4_eeg.set,1257.05,832.0,+,3,832,fixate,1,show_cross,1.0,nonWM
sub-006,ses-01,run-4,sub-006_ses-01_task-WorkingMemory_run-4_eeg.set,305.975,2143.517620475,Z,3,2144,to_ignore,1,show_letter,2.0,gZ
sub-006,ses-01,run-4,sub-006_ses-01_task-WorkingMemory_run-4_eeg.set,305.925,2504.01559205,K,3,2504,to_remember,1,show_letter,3.0,K
sub-006,ses-01,run-4,sub-006_ses-01_task-WorkingMemory_run-4_eeg.set,305.7,2864.4135642,H,3,2864,to_ignore,1,show_letter,4.0,gH
sub-006,ses-01,run-4,sub-006_ses-01_task-WorkingMemory_run-4_eeg.set,305.95,3224.611537475,P,3,3225,to_remember,1,show_letter,5.0,P
sub-006,ses-01,run-4,sub-006_ses-01_task-WorkingMemory_run-4_eeg.set,305.975,3585.059509325,C,3,3585,to_remember,1,show_letter,6.0,C
sub-006,ses-01,run-4,sub-006_ses-01_task-WorkingMemory_run-4_eeg.set,305.95,3945.5074812000003,S,3,3946,to_ignore,1,show_letter,7.0,gS
sub-006,ses-01,run-4,sub-006_ses-01_task-WorkingMemory_run-4_eeg.set,305.975,4305.680454599999,V,3,4306,to_ignore,1,show_letter,8.0,gV
sub-006,ses-01,run-4,sub-006_ses-01_task-WorkingMemory_run-4_eeg.set,305.975,4666.128426475,X,3,4666,to_ignore,1,show_letter,9.0,gX
sub-006,ses-01,run-4,sub-006_ses-01_task-WorkingMemory_run-4_eeg.set,720.6,5026.62639805,-,3,5027,work_memory,1,show_dash,10.0,WM
sub-006,ses-01,run-4,sub-006_ses-01_task-WorkingMemory_run-4_eeg.set,305.975,5801.6970369499995,C,3,5802,probe_target,1,show_letter,11.0,rC
sub-006,ses-01,run-4,sub-006_ses-01_task-WorkingMemory_run-4_eeg.set,0.0,6234.644600875001,n/a,3,6235,remembered_correct,1,right_click,12.0,1
