subject,session,run,source_file,duration,latency,letter,memory_cond,sample,task_role,trial,type,urevent,value
sub-023,ses-01,run-5,sub-023_ses-01_task-WorkingMemory_run-5_eeg.set,2508.3943285834,3100.9999999817655,+,5,3101,fixate,1,show_cross,1.0,nonWM
sub-023,ses-01,run-5,sub-023_ses-01_task-WorkingMemory_run-5_eeg.set,608.4713964795,5717.76107144198,V,5,5718,to_remember,1,show_letter,2.0,V
sub-023,ses-01,run-5,sub-023_ses-01_task-WorkingMemory_run-5_eeg.set,608.4713964795,6434.3421010296515,W,5,6434,to_remember,1,show_letter,3.0,W
sub-023,ses-01,run-5,sub-023_ses-01_task-WorkingMemory_run-5_eeg.set,608.4713964795,7151.423257000875,Q,5,7151,to_ignore,1,show_letter,4.0,gQ
sub-023,ses-01,run-5,sub-023_ses-01_task-WorkingMemory_run-5_eeg.set,608.5714082146,7868.45440030374,S,5,7868,to_remember,1,show_letter,5.0,S
sub-023,ses-01,run-5,sub-023_ses-01_task-WorkingMemory_run-5_eeg.set,608.4713964795,8585.535556274965,T,5,8586,to_ignore,1,show_letter,6.0,gT
sub-023,ses-01,run-5,sub-023_ses-01_task-WorkingMemory_run-5_eeg.set,608.4713964795,9302.116585862635,Z,5,9302,to_remember,1,show_letter,7.0,Z
sub-023,ses-01,run-5,sub-023_ses-01_task-WorkingMemory_run-5_eeg.set,608.4713964795,10018.697615500314,K,5,10019,to_remember,1,show_letter,8.0,K
sub-023,ses-01,run-5,sub-023_ses-01_task-WorkingMemory_run-5_eeg.set,608.4713964795,10735.278645087985,X,5,10735,to_ignore,1,show_letter,9.0,gX
sub-023,ses-01,run-5,sub-023_ses-01_task-WorkingMemory_run-5_eeg.set,1494.9254107293,11452.359801059209,-,5,11452,work_memory,1,show_dash,10.0,WM
sub-023,ses-01,run-5,sub-023_ses-01_task-WorkingMemory_run-5_eeg.set,326.4883093043,13055.514805522544,W,5,13056,probe_target,1,show_letter,11.0,rW
sub-023,ses-01,run-5,sub-023_ses-01_task-WorkingMemory_run-5_eeg.set,0.0,13373.745199964182,n/a,5,13374,remembered_correct,1,right_click,12.0,1
sub-023,ses-01,run-5,sub-023_ses-01_task-WorkingMemory_run-5_eeg.set,0.0,13573.895763920118,n/a,5,13574,feedback_correct,1,sound_beep,13.0,correct
sub-023,ses-01,run-5,sub-023_ses-01_task-WorkingMemory_run-5_eeg.set,0.0,16420.014777955475,n/a,5,16420,indicate_ready,1,right_click,14.0,1
sub-023,ses-01,run-5,sub-023_ses-01_task-WorkingMemory_run-5_eeg.set,2508.3943285834,16429.36714063782,+,3,16429,fixate,2,show_cross,15.0,nonWM
sub-023,ses-01,run-5,sub-023_ses-01_task-WorkingMemory_run-5_eeg.set,608.521402347,19046.578325763225,F,3,19047,to_ignore,2,show_letter,16.0,gF
sub-023,ses-01,run-5,sub-023_ses-01_task-WorkingMemory_run-5_eeg.set,608.4713964795,19763.709494352803,B,3,19764,to_ignore,2,show_letter,17.0,gB
sub-023,ses-01,run-5,sub-023_ses-01_task-WorkingMemory_run-5_eeg.set,608.4713964795,20480.740637705672,C,3,20481,to_ignore,2,show_letter,18.0,gC
sub-023,ses-01,run-5,sub-023_ses-01_task-WorkingMemory_run-5_eeg.set,608.4713964795,21197.82179362689,R,3,21198,to_remember,2,show_letter,19.0,R
sub-023,ses-01,run-5,sub-023_ses-01_task-WorkingMemory_run-5_eeg.set,608.4713964795,21914.40282326457,M,3,21914,to_remember,2,show_letter,20.0,M
sub-023,ses-01,run-5,sub-023_ses-01_task-WorkingMemory_run-5_eeg.set,608.4713964795,22630.983852852238,J,3,22631,to_ignore,2,show_letter,21.0,gJ
sub-023,ses-01,run-5,sub-023_ses-01_task-WorkingMemory_run-5_eeg.set,608.4713964795,23347.564882489918,H,3,23348,to_ignore,2,show_letter,22.0,gH
sub-023,ses-01,run-5,sub-023_ses-01_task-WorkingMemory_run-5_eeg.set,608.521402347,24064.596025792784,T,3,24065,to_remember,2,show_letter,23.0,T
sub-023,ses-01,run-5,sub-023_ses-01_task-WorkingMemory_run-5_eeg.set,1154.9855230511,24781.677181764004,-,3,24782,work_memory,2,show_dash,24.0,WM
sub-023,ses-01,run-5,sub-023_ses-01_task-WorkingMemory_run-5_eeg.set,378.9944702431,26045.346422084916,S,3,26045,probe_not_shown,2,show_letter,25.0,rS
sub-023,ses-01,run-5,sub-023_ses-01_task-WorkingMemory_run-5_eeg.set,0.0,26416.040070280742,n/a,3,26416,ignored_correct,2,left_click,26.0,255
sub-023,ses-01,run-5,sub-023_ses-01_task-WorkingMemory_run-5_eeg.set,0.0,26616.140621618324,n/a,3,26616,feedback_correct,2,sound_beep,27.0,correct
sub-023,ses-01,run-5,sub-023_ses-01_task-WorkingMemory_run-5_eeg.set,0.0,27220.443286349455,n/a,3,27220,indicate_ready,2,right_click,28.0,1
sub-023,ses-01,run-5,sub-023_ses-01_task-WorkingMemory_run-5_eeg.set,2508.3943285834,27229.945686936866,+,7,27230,fixate,3,show_cross,29.0,nonWM
sub-023,ses-01,run-5,sub-023_ses-01_task-WorkingMemory_run-5_eeg.set,608.4713964795,29846.706758347074,L,7,29847,to_remember,3,show_letter,30.0,L
sub-023,ses-01,run-5,sub-023_ses-01_task-WorkingMemory_run-5_eeg.set,608.4713964795,30563.7879143183,K,7,30564,to_remember,3,show_letter,31.0,K
