subject,session,run,source_file,duration,latency,letter,memory_cond,sample,task_role,trial,type,urevent,value
sub-016,ses-01,run-2,sub-016_ses-01_task-WorkingMemory_run-2_eeg.set,2508.7,2349.0,+,7,2349,fixate,1,show_cross,1.0,nonWM
sub-016,ses-01,run-2,sub-016_ses-01_task-WorkingMemory_run-2_eeg.set,608.45,4966.7183788,W,7,4967,to_remember,1,show_letter,2.0,W
sub-016,ses-01,run-2,sub-016_ses-01_task-WorkingMemory_run-2_eeg.set,608.4,5683.70144525,L,7,5684,to_remember,1,show_letter,3.0,L
sub-016,ses-01,run-2,sub-016_ses-01_task-WorkingMemory_run-2_eeg.set,608.45,6400.63449885,D,7,6401,to_remember,1,show_letter,4.0,D
sub-016,ses-01,run-2,sub-016_ses-01_task-WorkingMemory_run-2_eeg.set,608.45,7117.617565250001,J,7,7118,to_remember,1,show_letter,5.0,J
sub-016,ses-01,run-2,sub-016_ses-01_task-WorkingMemory_run-2_eeg.set,608.4,7834.6006317,C,7,7835,to_remember,1,show_letter,6.0,C
sub-016,ses-01,run-2,sub-016_ses-01_task-WorkingMemory_run-2_eeg.set,608.45,8551.533685299999,F,7,8552,to_ignore,1,show_letter,7.0,gF
sub-016,ses-01,run-2,sub-016_ses-01_task-WorkingMemory_run-2_eeg.set,608.4,9268.5167517,V,7,9269,to_remember,1,show_letter,8.0,V
sub-016,ses-01,run-2,sub-016_ses-01_task-WorkingMemory_run-2_eeg.set,608.4,9985.4998181,S,7,9985,to_remember,1,show_letter,9.0,S
sub-016,ses-01,run-2,sub-016_ses-01_task-WorkingMemory_run-2_eeg.set,1525.25,10702.432871750001,-,7,10702,work_memory,1,show_dash,10.0,WM
sub-016,ses-01,run-2,sub-016_ses-01_task-WorkingMemory_run-2_eeg.set,616.75,12336.45008335,S,7,12336,probe_target,1,show_letter,11.0,rS
sub-016,ses-01,run-2,sub-016_ses-01_task-WorkingMemory_run-2_eeg.set,0.0,12938.7038561,n/a,7,12939,remembered_correct,1,right_click,12.0,1
sub-016,ses-01,run-2,sub-016_ses-01_task-WorkingMemory_run-2_eeg.set,0.0,13138.8549604,n/a,7,13139,feedback_correct,1,sound_beep,13.0,correct
sub-016,ses-01,run-2,sub-016_ses-01_task-WorkingMemory_run-2_eeg.set,0.0,15826.341152949999,n/a,7,15826,indicate_ready,1,right_click,14.0,1
sub-016,ses-01,run-2,sub-016_ses-01_task-WorkingMemory_run-2_eeg.set,2500.4,15829.54197025,+,3,15830,fixate,2,show_cross,15.0,nonWM
sub-016,ses-01,run-2,sub-016_ses-01_task-WorkingMemory_run-2_eeg.set,608.45,18438.958229300002,V,3,18439,to_remember,2,show_letter,16.0,V
sub-016,ses-01,run-2,sub-016_ses-01_task-WorkingMemory_run-2_eeg.set,608.45,19155.9412957,W,3,19156,to_ignore,2,show_letter,17.0,gW
sub-016,ses-01,run-2,sub-016_ses-01_task-WorkingMemory_run-2_eeg.set,608.4,19872.9243621,S,3,19873,to_ignore,2,show_letter,18.0,gS
sub-016,ses-01,run-2,sub-016_ses-01_task-WorkingMemory_run-2_eeg.set,608.45,20589.857415749997,R,3,20590,to_remember,2,show_letter,19.0,R
sub-016,ses-01,run-2,sub-016_ses-01_task-WorkingMemory_run-2_eeg.set,608.4,21306.84048215,B,3,21307,to_ignore,2,show_letter,20.0,gB
sub-016,ses-01,run-2,sub-016_ses-01_task-WorkingMemory_run-2_eeg.set,608.45,22023.7735358,N,3,22024,to_remember,2,show_letter,21.0,N
sub-016,ses-01,run-2,sub-016_ses-01_task-WorkingMemory_run-2_eeg.set,608.45,22740.7566022,P,3,22741,to_ignore,2,show_letter,22.0,gP
sub-016,ses-01,run-2,sub-016_ses-01_task-WorkingMemory_run-2_eeg.set,608.4,23457.7396686,Z,3,23458,to_ignore,2,show_letter,23.0,gZ
sub-016,ses-01,run-2,sub-016_ses-01_task-WorkingMemory_run-2_eeg.set,1925.3,24174.67272225,-,3,24175,work_memory,2,show_dash,24.0,WM
sub-016,ses-01,run-2,sub-016_ses-01_task-WorkingMemory_run-2_eeg.set,433.4,26208.8421042,X,3,26209,probe_not_shown,2,show_letter,25.0,rX
sub-016,ses-01,run-2,sub-016_ses-01_task-WorkingMemory_run-2_eeg.set,0.0,26638.201732049998,n/a,3,26638,ignored_correct,2,left_click,26.0,255
sub-016,ses-01,run-2,sub-016_ses-01_task-WorkingMemory_run-2_eeg.set,0.0,26838.30282365,n/a,3,26838,feedback_correct,2,sound_beep,27.0,correct
sub-016,ses-01,run-2,sub-016_ses-01_task-WorkingMemory_run-2_eeg.set,0.0,30910.1924942,n/a,3,30910,indicate_ready,2,left_click,28.0,255
sub-016,ses-01,run-2,sub-016_ses-01_task-WorkingMemory_run-2_eeg.set,2508.75,30919.14478,+,7,30919,fixate,3,show_cross,29.0,nonWM
sub-016,ses-01,run-2,sub-016_ses-01_task-WorkingMemory_run-2_eeg.set,608.4,33536.9131716,B,7,33537,to_remember,3,show_letter,30.0,B
sub-016,ses-01,run-2,sub-016_ses-01_task-WorkingMemory_run-2_eeg.set,608.45,34253.8462252,N,7,34254,to_remember,3,show_letter,31.0,N
sub-016,ses-01,run-2,sub-016_ses-01_task-WorkingMemory_run-2_eeg.set,608.4,34970.82929165,R,7,34971,to_remember,3,show_letter,32.0,R
sub-016,ses-01,run-2,sub-016_ses-01_task-WorkingMemory_run-2_eeg.set,608.45,35687.762345250005,G,7,35688,to_remember,3,show_letter,33.0,G
sub-016,ses-01,run-2,sub-016_ses-01_task-WorkingMemory_run-2_eeg.set,608.45,36404.74541165,Y,7,36405,to_remember,3,show_letter,34.0,Y
sub-016,ses-01,run-2,sub-016_ses-01_task-WorkingMemory_run-2_eeg.set,608.4,37121.7284781,Z,7,37122,to_remember,3,show_letter,35.0,Z
