subject,session,run,source_file,duration,latency,letter,memory_cond,sample,task_role,trial,type,urevent,value
sub-017,ses-01,run-3,sub-017_ses-01_task-WorkingMemory_run-3_eeg.set,2508.7,3983.0,+,7,3983,fixate,1,show_cross,1.0,nonWM
sub-017,ses-01,run-3,sub-017_ses-01_task-WorkingMemory_run-3_eeg.set,608.45,6600.7127632500005,P,7,6601,to_remember,1,show_letter,2.0,P
sub-017,ses-01,run-3,sub-017_ses-01_task-WorkingMemory_run-3_eeg.set,608.4,7317.69429155,Y,7,7318,to_ignore,1,show_letter,3.0,gY
sub-017,ses-01,run-3,sub-017_ses-01_task-WorkingMemory_run-3_eeg.set,608.45,8034.6258072,R,7,8035,to_remember,1,show_letter,4.0,R
sub-017,ses-01,run-3,sub-017_ses-01_task-WorkingMemory_run-3_eeg.set,608.45,8751.607335550001,T,7,8752,to_remember,1,show_letter,5.0,T
sub-017,ses-01,run-3,sub-017_ses-01_task-WorkingMemory_run-3_eeg.set,608.4,9468.58886385,B,7,9469,to_remember,1,show_letter,6.0,B
sub-017,ses-01,run-3,sub-017_ses-01_task-WorkingMemory_run-3_eeg.set,608.45,10185.5203795,G,7,10186,to_remember,1,show_letter,7.0,G
sub-017,ses-01,run-3,sub-017_ses-01_task-WorkingMemory_run-3_eeg.set,608.4,10902.501907849999,V,7,10903,to_remember,1,show_letter,8.0,V
sub-017,ses-01,run-3,sub-017_ses-01_task-WorkingMemory_run-3_eeg.set,608.45,11619.4334235,M,7,11619,to_remember,1,show_letter,9.0,M
sub-017,ses-01,run-3,sub-017_ses-01_task-WorkingMemory_run-3_eeg.set,1425.2,12336.414951800001,-,7,12336,work_memory,1,show_dash,10.0,WM
sub-017,ses-01,run-3,sub-017_ses-01_task-WorkingMemory_run-3_eeg.set,491.75,13870.403333299999,P,7,13870,probe_target,1,show_letter,11.0,rP
sub-017,ses-01,run-3,sub-017_ses-01_task-WorkingMemory_run-3_eeg.set,0.0,14359.82724765,n/a,7,14360,remembered_correct,1,right_click,12.0,1
sub-017,ses-01,run-3,sub-017_ses-01_task-WorkingMemory_run-3_eeg.set,0.0,14559.92790995,n/a,7,14560,feedback_correct,1,sound_beep,13.0,correct
sub-017,ses-01,run-3,sub-017_ses-01_task-WorkingMemory_run-3_eeg.set,0.0,14610.3906863,n/a,7,14610,indicate_ready,1,left_click,14.0,255
sub-017,ses-01,run-3,sub-017_ses-01_task-WorkingMemory_run-3_eeg.set,2500.4,14612.341180149999,+,3,14612,fixate,2,show_cross,15.0,nonWM
sub-017,ses-01,run-3,sub-017_ses-01_task-WorkingMemory_run-3_eeg.set,608.45,17221.751841399997,R,3,17222,to_ignore,2,show_letter,16.0,gR
sub-017,ses-01,run-3,sub-017_ses-01_task-WorkingMemory_run-3_eeg.set,608.4,17938.73336975,X,3,17939,to_ignore,2,show_letter,17.0,gX
sub-017,ses-01,run-3,sub-017_ses-01_task-WorkingMemory_run-3_eeg.set,608.45,18655.664885399998,S,3,18656,to_remember,2,show_letter,18.0,S
sub-017,ses-01,run-3,sub-017_ses-01_task-WorkingMemory_run-3_eeg.set,608.45,19372.6464137,P,3,19373,to_remember,2,show_letter,19.0,P
sub-017,ses-01,run-3,sub-017_ses-01_task-WorkingMemory_run-3_eeg.set,608.4,20089.62794205,N,3,20090,to_remember,2,show_letter,20.0,N
sub-017,ses-01,run-3,sub-017_ses-01_task-WorkingMemory_run-3_eeg.set,608.45,20806.5594577,D,3,20807,to_ignore,2,show_letter,21.0,gD
sub-017,ses-01,run-3,sub-017_ses-01_task-WorkingMemory_run-3_eeg.set,608.4,21523.540986,G,3,21524,to_ignore,2,show_letter,22.0,gG
sub-017,ses-01,run-3,sub-017_ses-01_task-WorkingMemory_run-3_eeg.set,608.4,22240.52251435,J,3,22241,to_ignore,2,show_letter,23.0,gJ
sub-017,ses-01,run-3,sub-017_ses-01_task-WorkingMemory_run-3_eeg.set,1375.2,22957.45403,-,3,22957,work_memory,2,show_dash,24.0,WM
