subject,session,run,source_file,duration,latency,letter,memory_cond,sample,task_role,trial,type,urevent,value
sub-010,ses-01,run-1,sub-010_ses-01_task-WorkingMemory_run-1_eeg.set,1263.075,807.0,+,5,807,fixate,1,show_cross,1.0,nonWM
sub-010,ses-01,run-1,sub-010_ses-01_task-WorkingMemory_run-1_eeg.set,313.725,2133.2954465000003,Z,5,2133,to_ignore,1,show_letter,2.0,gZ
sub-010,ses-01,run-1,sub-010_ses-01_task-WorkingMemory_run-1_eeg.set,313.7,2510.24415235,T,5,2510,to_remember,1,show_letter,3.0,T
sub-010,ses-01,run-1,sub-010_ses-01_task-WorkingMemory_run-1_eeg.set,313.7,2887.1928582,M,5,2887,to_remember,1,show_letter,4.0,M
sub-010,ses-01,run-1,sub-010_ses-01_task-WorkingMemory_run-1_eeg.set,313.45,3264.14156405,S,5,3264,to_remember,1,show_letter,5.0,S
sub-010,ses-01,run-1,sub-010_ses-01_task-WorkingMemory_run-1_eeg.set,313.45,3641.065269975,Y,5,3641,to_ignore,1,show_letter,6.0,gY
sub-010,ses-01,run-1,sub-010_ses-01_task-WorkingMemory_run-1_eeg.set,313.45,4018.0139758249998,V,5,4018,to_remember,1,show_letter,7.0,V
sub-010,ses-01,run-1,sub-010_ses-01_task-WorkingMemory_run-1_eeg.set,313.45,4394.962681675001,N,5,4395,to_remember,1,show_letter,8.0,N
sub-010,ses-01,run-1,sub-010_ses-01_task-WorkingMemory_run-1_eeg.set,313.725,4771.63638845,H,5,4772,to_ignore,1,show_letter,9.0,gH
sub-010,ses-01,run-1,sub-010_ses-01_task-WorkingMemory_run-1_eeg.set,549.675,5148.5850943000005,-,5,5149,work_memory,1,show_dash,10.0,WM
sub-010,ses-01,run-1,sub-010_ses-01_task-WorkingMemory_run-1_eeg.set,296.45,5761.50799,Q,5,5762,probe_not_shown,1,show_letter,11.0,rQ
sub-010,ses-01,run-1,sub-010_ses-01_task-WorkingMemory_run-1_eeg.set,0.0,6040.857030925,n/a,5,6041,ignored_correct,1,left_click,12.0,255
sub-010,ses-01,run-1,sub-010_ses-01_task-WorkingMemory_run-1_eeg.set,0.0,6140.8816875,n/a,5,6141,feedback_correct,1,sound_beep,13.0,correct
sub-010,ses-01,run-1,sub-010_ses-01_task-WorkingMemory_run-1_eeg.set,0.0,7088.8784328,n/a,5,7089,indicate_ready,1,right_click,14.0,1
sub-010,ses-01,run-1,sub-010_ses-01_task-WorkingMemory_run-1_eeg.set,1263.05,7105.303376425,+,7,7105,fixate,2,show_cross,15.0,nonWM
sub-010,ses-01,run-1,sub-010_ses-01_task-WorkingMemory_run-1_eeg.set,313.725,8431.573823025,X,7,8432,to_remember,2,show_letter,16.0,X
sub-010,ses-01,run-1,sub-010_ses-01_task-WorkingMemory_run-1_eeg.set,313.7,8808.52252885,C,7,8809,to_ignore,2,show_letter,17.0,gC
sub-010,ses-01,run-1,sub-010_ses-01_task-WorkingMemory_run-1_eeg.set,313.7,9185.4712347,J,7,9185,to_remember,2,show_letter,18.0,J
sub-010,ses-01,run-1,sub-010_ses-01_task-WorkingMemory_run-1_eeg.set,313.7,9562.41994055,H,7,9562,to_remember,2,show_letter,19.0,H
sub-010,ses-01,run-1,sub-010_ses-01_task-WorkingMemory_run-1_eeg.set,313.45,9939.343646475,N,7,9939,to_remember,2,show_letter,20.0,N
sub-010,ses-01,run-1,sub-010_ses-01_task-WorkingMemory_run-1_eeg.set,313.45,10316.292352325001,D,7,10316,to_remember,2,show_letter,21.0,D
sub-010,ses-01,run-1,sub-010_ses-01_task-WorkingMemory_run-1_eeg.set,313.425,10693.241058175001,P,7,10693,to_remember,2,show_letter,22.0,P
sub-010,ses-01,run-1,sub-010_ses-01_task-WorkingMemory_run-1_eeg.set,313.475,11070.1647641,S,7,11070,to_remember,2,show_letter,23.0,S
sub-010,ses-01,run-1,sub-010_ses-01_task-WorkingMemory_run-1_eeg.set,889.125,11446.8634708,-,7,11447,work_memory,2,show_dash,24.0,WM
sub-010,ses-01,run-1,sub-010_ses-01_task-WorkingMemory_run-1_eeg.set,227.2,12399.485200225,L,7,12399,probe_not_shown,2,show_letter,25.0,rL
sub-010,ses-01,run-1,sub-010_ses-01_task-WorkingMemory_run-1_eeg.set,0.0,12612.459469025,n/a,7,12612,ignored_correct,2,left_click,26.0,255
sub-010,ses-01,run-1,sub-010_ses-01_task-WorkingMemory_run-1_eeg.set,0.0,12712.50912555,n/a,7,12713,feedback_correct,2,sound_beep,27.0,correct
sub-010,ses-01,run-1,sub-010_ses-01_task-WorkingMemory_run-1_eeg.set,0.0,13528.681323425,n/a,7,13529,indicate_ready,2,right_click,28.0,1
sub-010,ses-01,run-1,sub-010_ses-01_task-WorkingMemory_run-1_eeg.set,1263.3,13547.306259474999,+,3,13547,fixate,3,show_cross,29.0,nonWM
sub-010,ses-01,run-1,sub-010_ses-01_task-WorkingMemory_run-1_eeg.set,313.45,14873.851705125,J,3,14874,to_ignore,3,show_letter,30.0,gJ
sub-010,ses-01,run-1,sub-010_ses-01_task-WorkingMemory_run-1_eeg.set,313.45,15250.775411050001,C,3,15251,to_ignore,3,show_letter,31.0,gC
sub-010,ses-01,run-1,sub-010_ses-01_task-WorkingMemory_run-1_eeg.set,313.45,15627.7241169,L,3,15628,to_ignore,3,show_letter,32.0,gL
sub-010,ses-01,run-1,sub-010_ses-01_task-WorkingMemory_run-1_eeg.set,313.5,16004.622822925,S,3,16005,to_remember,3,show_letter,33.0,S
sub-010,ses-01,run-1,sub-010_ses-01_task-WorkingMemory_run-1_eeg.set,313.725,16381.34652955,G,3,16381,to_remember,3,show_letter,34.0,G
sub-010,ses-01,run-1,sub-010_ses-01_task-WorkingMemory_run-1_eeg.set,313.7,16758.295235375,V,3,16758,to_remember,3,show_letter,35.0,V
sub-010,ses-01,run-1,sub-010_ses-01_task-WorkingMemory_run-1_eeg.set,313.7,17135.243941225002,R,3,17135,to_ignore,3,show_letter,36.0,gR
sub-010,ses-01,run-1,sub-010_ses-01_task-WorkingMemory_run-1_eeg.set,313.7,17512.192647075,T,3,17512,to_ignore,3,show_letter,37.0,gT
sub-010,ses-01,run-1,sub-010_ses-01_task-WorkingMemory_run-1_eeg.set,563.925,17889.116353,-,3,17889,work_memory,3,show_dash,38.0,WM
sub-010,ses-01,run-1,sub-010_ses-01_task-WorkingMemory_run-1_eeg.set,313.7,18516.289199775,V,3,18516,probe_target,3,show_letter,39.0,rV
sub-010,ses-01,run-1,sub-010_ses-01_task-WorkingMemory_run-1_eeg.set,0.0,19124.687111,n/a,3,19125,remembered_correct,3,right_click,40.0,1
sub-010,ses-01,run-1,sub-010_ses-01_task-WorkingMemory_run-1_eeg.set,0.0,19224.7117676,n/a,3,19225,feedback_correct,3,sound_beep,41.0,correct
sub-010,ses-01,run-1,sub-010_ses-01_task-WorkingMemory_run-1_eeg.set,0.0,19902.459440724997,n/a,3,19902,indicate_ready,3,right_click,42.0,1
sub-010,ses-01,run-1,sub-010_ses-01_task-WorkingMemory_run-1_eeg.set,1263.05,19920.559378575,+,7,19921,fixate,4,show_cross,43.0,nonWM
sub-010,ses-01,run-1,sub-010_ses-01_task-WorkingMemory_run-1_eeg.set,313.7,21246.854825075,W,7,21247,to_remember,4,show_letter,44.0,W
