subject,session,run,source_file,duration,latency,letter,memory_cond,sample,task_role,trial,type,urevent,value
sub-020,ses-01,run-3,sub-020_ses-01_task-WorkingMemory_run-3_eeg.set,2508.7,3233.0,+,3,3233,fixate,1,show_cross,1.0,nonWM
sub-020,ses-01,run-3,sub-020_ses-01_task-WorkingMemory_run-3_eeg.set,608.45,5850.709768250001,K,3,5851,to_ignore,1,show_letter,2.0,gK
sub-020,ses-01,run-3,sub-020_ses-01_task-WorkingMemory_run-3_eeg.set,608.4,6567.69047625,H,3,6568,to_ignore,1,show_letter,3.0,gH
sub-020,ses-01,run-3,sub-020_ses-01_task-WorkingMemory_run-3_eeg.set,608.45,7284.62117165,L,3,7285,to_remember,1,show_letter,4.0,L
sub-020,ses-01,run-3,sub-020_ses-01_task-WorkingMemory_run-3_eeg.set,608.45,8001.6018797,V,3,8002,to_remember,1,show_letter,5.0,V
sub-020,ses-01,run-3,sub-020_ses-01_task-WorkingMemory_run-3_eeg.set,608.4,8718.5825877,R,3,8719,to_remember,1,show_letter,6.0,R
sub-020,ses-01,run-3,sub-020_ses-01_task-WorkingMemory_run-3_eeg.set,608.45,9435.5132831,C,3,9436,to_ignore,1,show_letter,7.0,gC
sub-020,ses-01,run-3,sub-020_ses-01_task-WorkingMemory_run-3_eeg.set,608.4,10152.4939911,J,3,10152,to_ignore,1,show_letter,8.0,gJ
sub-020,ses-01,run-3,sub-020_ses-01_task-WorkingMemory_run-3_eeg.set,608.45,10869.424686499999,Y,3,10869,to_ignore,1,show_letter,9.0,gY
sub-020,ses-01,run-3,sub-020_ses-01_task-WorkingMemory_run-3_eeg.set,1008.5,11586.4053945,-,3,11586,work_memory,1,show_dash,10.0,WM
sub-020,ses-01,run-3,sub-020_ses-01_task-WorkingMemory_run-3_eeg.set,508.4,12703.536956650001,R,3,12704,probe_target,1,show_letter,11.0,rR
sub-020,ses-01,run-3,sub-020_ses-01_task-WorkingMemory_run-3_eeg.set,0.0,13204.66326065,n/a,3,13205,remembered_correct,1,right_click,12.0,1
