subject,session,run,source_file,duration,latency,letter,memory_cond,sample,task_role,trial,type,urevent,value
sub-016,ses-01,run-1,sub-016_ses-01_task-WorkingMemory_run-1_eeg.set,2508.7,16028.000000000002,+,3,16028,fixate,1,show_cross,1.0,nonWM
sub-016,ses-01,run-1,sub-016_ses-01_task-WorkingMemory_run-1_eeg.set,608.45,18645.717130899997,D,3,18646,to_ignore,1,show_letter,2.0,gD
sub-016,ses-01,run-1,sub-016_ses-01_task-WorkingMemory_run-1_eeg.set,608.4,19362.6998555,M,3,19363,to_ignore,1,show_letter,3.0,gM
sub-016,ses-01,run-1,sub-016_ses-01_task-WorkingMemory_run-1_eeg.set,608.45,20079.6325674,B,3,20080,to_ignore,1,show_letter,4.0,gB
sub-016,ses-01,run-1,sub-016_ses-01_task-WorkingMemory_run-1_eeg.set,608.45,20796.615292000002,Y,3,20797,to_remember,1,show_letter,5.0,Y
sub-016,ses-01,run-1,sub-016_ses-01_task-WorkingMemory_run-1_eeg.set,608.4,21513.598016599997,H,3,21514,to_ignore,1,show_letter,6.0,gH
sub-016,ses-01,run-1,sub-016_ses-01_task-WorkingMemory_run-1_eeg.set,608.45,22230.53072845,Q,3,22231,to_remember,1,show_letter,7.0,Q
sub-016,ses-01,run-1,sub-016_ses-01_task-WorkingMemory_run-1_eeg.set,608.4,22947.5134531,C,3,22948,to_remember,1,show_letter,8.0,C
sub-016,ses-01,run-1,sub-016_ses-01_task-WorkingMemory_run-1_eeg.set,608.45,23664.446164949997,G,3,23664,to_ignore,1,show_letter,9.0,gG
sub-016,ses-01,run-1,sub-016_ses-01_task-WorkingMemory_run-1_eeg.set,1683.6,24381.42888955,-,3,24381,work_memory,1,show_dash,10.0,WM
sub-016,ses-01,run-1,sub-016_ses-01_task-WorkingMemory_run-1_eeg.set,458.4,26173.83568835,C,3,26174,probe_target,1,show_letter,11.0,rC
sub-016,ses-01,run-1,sub-016_ses-01_task-WorkingMemory_run-1_eeg.set,0.0,26624.95065595,n/a,3,26625,remembered_correct,1,right_click,12.0,1
sub-016,ses-01,run-1,sub-016_ses-01_task-WorkingMemory_run-1_eeg.set,0.0,26825.101664899998,n/a,3,26825,feedback_correct,1,sound_beep,13.0,correct
sub-016,ses-01,run-1,sub-016_ses-01_task-WorkingMemory_run-1_eeg.set,0.0,34853.2476554,n/a,3,34853,indicate_ready,1,right_click,14.0,1
sub-016,ses-01,run-1,sub-016_ses-01_task-WorkingMemory_run-1_eeg.set,2500.4,34860.74956725,+,7,34861,fixate,2,show_cross,15.0,nonWM
sub-016,ses-01,run-1,sub-016_ses-01_task-WorkingMemory_run-1_eeg.set,608.45,37470.16458235,C,7,37470,to_ignore,2,show_letter,16.0,gC
sub-016,ses-01,run-1,sub-016_ses-01_task-WorkingMemory_run-1_eeg.set,608.45,38187.14730695,Z,7,38187,to_remember,2,show_letter,17.0,Z
sub-016,ses-01,run-1,sub-016_ses-01_task-WorkingMemory_run-1_eeg.set,608.4,38904.1300316,L,7,38904,to_remember,2,show_letter,18.0,L
sub-016,ses-01,run-1,sub-016_ses-01_task-WorkingMemory_run-1_eeg.set,608.45,39621.06274345,K,7,39621,to_remember,2,show_letter,19.0,K
sub-016,ses-01,run-1,sub-016_ses-01_task-WorkingMemory_run-1_eeg.set,608.4,40338.04546805,R,7,40338,to_remember,2,show_letter,20.0,R
sub-016,ses-01,run-1,sub-016_ses-01_task-WorkingMemory_run-1_eeg.set,608.45,41054.9781799,G,7,41055,to_remember,2,show_letter,21.0,G
sub-016,ses-01,run-1,sub-016_ses-01_task-WorkingMemory_run-1_eeg.set,608.45,41771.9609045,B,7,41772,to_remember,2,show_letter,22.0,B
sub-016,ses-01,run-1,sub-016_ses-01_task-WorkingMemory_run-1_eeg.set,608.4,42488.94362915,T,7,42489,to_remember,2,show_letter,23.0,T
sub-016,ses-01,run-1,sub-016_ses-01_task-WorkingMemory_run-1_eeg.set,1033.5,43205.876341,-,7,43206,work_memory,2,show_dash,24.0,WM
sub-016,ses-01,run-1,sub-016_ses-01_task-WorkingMemory_run-1_eeg.set,608.45,44348.017418150004,Z,7,44348,probe_target,2,show_letter,25.0,rZ
sub-016,ses-01,run-1,sub-016_ses-01_task-WorkingMemory_run-1_eeg.set,0.0,44993.5319289,n/a,7,44994,remembered_correct,2,right_click,26.0,1
sub-016,ses-01,run-1,sub-016_ses-01_task-WorkingMemory_run-1_eeg.set,0.0,45193.6329251,n/a,7,45194,feedback_correct,2,sound_beep,27.0,correct
sub-016,ses-01,run-1,sub-016_ses-01_task-WorkingMemory_run-1_eeg.set,0.0,49213.057284149996,n/a,7,49213,indicate_ready,2,right_click,28.0,1
