target,model,split,accuracy,balanced_accuracy,precision,recall,f1,roc_auc
remember,logistic_regression,validation,0.5180078784468205,0.49327005824228176,0.5475372279495991,0.7308868501529052,0.6260641781270465,0.4853555494086129
remember,logistic_regression,test,0.5471177079737659,0.5018604517495406,0.5744771660264618,0.8103552077062011,0.6723276723276723,0.5095411778688317
remember,random_forest,validation,0.5168823860438942,0.4907107530517009,0.5459317585301837,0.7420998980632009,0.6290775545474184,0.4772619148238645
remember,random_forest,test,0.5305488436313428,0.5131846335794127,0.5837506956037841,0.6315472606863335,0.606709080393291,0.528589924188844
correct,logistic_regression,validation,0.963984243106359,0.4991258741258741,0.9656144306651635,0.9982517482517482,0.9816618911174785,0.6015371240781078
correct,logistic_regression,test,0.9392474974111149,0.5,0.9392474974111149,1.0,0.9686721253114987,0.43386246700745046
correct,random_forest,validation,0.9648283624085537,0.4995629370629371,0.9656434807096592,0.9991258741258742,0.9820993842188172,0.5613595762161336
correct,random_forest,test,0.9250949257852952,0.49778031138284723,0.9389901823281908,0.9841969864020581,0.9610622644895029,0.4456917577093983
