run,channel_index,channel,std,mean,min,max,high_amplitude_100_percent,high_amplitude_200_percent,clip_percent
1,1,FP1,229.59251849013282,12.596030323696516,-1000.0,1000.0001220703125,23.172058028205843,13.347557098114263,4.699785454912845
1,2,FPZ,225.50735644776847,6.681363589616701,-1000.0,1000.0001220703125,22.205713674426345,12.326536434034814,4.468005443858721
1,3,FP2,228.74324708529386,9.094029657724827,-1000.0,1000.0001220703125,23.66473912862602,13.14252093448946,4.526841908203229
1,4,AF7,226.9040843120241,9.23991137435839,-1000.0,1000.0001220703125,23.52804835287615,13.474738950333704,4.766347919625824
1,5,AF3,219.6916301810255,-14.804755159224396,-1000.0,1000.0001220703125,22.03693028176129,9.899383702893685,4.375887747157723
1,6,AFZ,216.5094224290292,0.3735307665769818,-1000.0,1000.0001220703125,15.013401639100692,9.173733975978083,4.3954999019392265
1,7,AF4,219.89925051526467,-15.853674055749877,-1000.0,1000.0001220703125,20.569584519472492,9.560033994401621,4.364595900465343
1,8,AF8,223.98982940189617,-0.3692942325251821,-1000.0,1000.0001220703125,23.476937888900114,10.768261590486322,4.425809595692458
1,9,F9,210.35046479255976,-13.624618276009572,-1000.0,1000.0001220703125,16.12594569216049,9.605795688891794,4.357464207817524
1,10,F7,212.19322062250365,-8.759761667405485,-1000.0,1000.0001220703125,17.282468516548498,9.738920618317753,4.365190208185995
1,11,F5,213.13729726307935,-16.757318080367007,-1000.0,1000.0001220703125,16.22697800467126,8.928879195069623,4.346172361125143
1,12,F3,210.5620808218963,12.860291886393536,-1000.0,1000.0001220703125,14.567670848611995,8.83141272888276,4.381830824364239
1,13,F1,211.850419568983,1.8593783372908517,-1000.0,1000.0001220703125,12.160724579973019,8.633508257905778,4.370538977671859
1,14,FZ,213.05383950364427,-8.659343212751105,-1000.0,1000.0001220703125,12.59575783148999,8.512269482892853,4.335474822153414
1,15,F2,209.43152227914624,21.150468505293002,-1000.0,1000.0001220703125,12.614181370830188,7.866256990544564,4.398471440542484
1,16,F4,213.1768601188865,-2.1808778821384474,-1000.0,1000.0001220703125,12.04602318988726,7.817523757451133,4.37113328539251
1,17,F6,213.65746803231434,2.697391675363921,-1000.0,1000.0001220703125,12.828132150264764,8.033257460047663,4.387179593850104
1,18,F8,214.51561860514724,5.329151786766345,-1000.0,1000.0001220703125,13.697010037857401,8.360126706406042,4.39312267105662
1,19,F10,219.55697114166912,-25.165903121240515,-1000.0,1000.0001220703125,25.728175534728372,8.398162400527745,4.418083595323987
1,20,FT9,208.83481492448954,-16.17842611817847,-1000.0,1000.0001220703125,13.912149432733282,8.005324997177038,4.359247130979479
1,21,FT7,209.12384526234277,-8.950445294773832,-1000.0,1000.0001220703125,12.886968614609273,8.140827157485603,4.3634072850240395
1,22,FC5,210.8226287495697,-13.56638342586422,-1000.0,1000.0001220703125,12.572579830384575,8.376173014863635,4.353898361493614
1,23,FC3,212.2733588288675,-15.732804164649002,-1000.0,1000.0001220703125,11.957471339510171,8.3066390115474,4.34498374568384
1,24,FC1,209.28033813219324,14.077315268842266,-1000.0,1000.0001220703125,10.915055597487267,7.778893755608779,4.3848023629674975
1,25,FCZ,210.98223402118487,1.636113244537541,-1000.0,1000.0001220703125,10.783713591223263,7.792562833183767,4.3634072850240395
1,26,FC2,212.75172125808325,-12.363605940381818,-1000.0,1000.0001220703125,11.105234068095779,7.774139293843567,4.34854959200775
1,27,FC4,212.1923609289723,-3.7934648616637756,-1000.0,1000.0001220703125,10.632165122457106,7.775922217005521,4.373510516275117
1,28,FC6,211.10401319810435,1.0545653664419392,-1000.0,1000.0001220703125,10.06460124923483,7.723028829867529,4.365190208185995
1,29,FT8,215.22072812878005,-19.151003584172546,-1000.0,1000.0001220703125,12.503045827068341,7.877548837236945,4.3580585155381755
1,30,FT10,214.4006939448124,-12.034961638622256,-1000.0,1000.0001220703125,12.72293968370943,7.895378068856493,4.377076362599026
1,31,T7,211.38533738766466,-28.72217101572454,-1000.0,1000.0001220703125,13.0266309289624,7.744423907810987,4.328937437226247
1,32,C5,209.59792546786346,-11.498735294240419,-1000.0,1000.0001220703125,11.054123604119741,7.671918365891492,4.334880514432763
1,33,C3,209.99068220693437,-1.189706273514429,-1000.0,1000.0001220703125,10.711802357024421,7.743235292369683,4.354492669214266
1,34,C1,206.61738790212448,28.623475545795593,-1000.0,1000.0001220703125,10.660691893048382,7.8442676048804545,4.43412990378158
1,35,CZ,211.47892363461565,-5.631798799999341,-1000.0,1000.0001220703125,10.720122665113543,7.79791160266963,4.365190208185995
1,36,C2,210.1391232194657,4.360469258647359,-1000.0,1000.0001220703125,10.355812032354113,7.772356370681612,4.383019439805542
1,37,C4,212.66716981558946,-10.59196809039455,-1000.0,1000.0001220703125,10.279146336390056,7.788996986859856,4.366973131347949
1,38,C6,211.26267330827946,3.4931167142842274,-1000.0,1000.0001220703125,9.955842936355586,7.785431140535946,4.40798036407291
1,39,T8,211.80409172680584,-4.231049516413004,-1000.0,1000.0001220703125,9.937419397015386,7.778893755608779,4.3746991317164206
1,40,TP9,209.44706052070538,-7.8263982331903925,-1000.0,1000.0001220703125,9.911269857306717,7.728971907074045,4.375887747157723
1,41,TP7,209.84894648273982,-12.400341560389782,-1000.0,1000.0001220703125,10.47705080736704,7.715302829499058,4.351521130611008
1,42,CP5,210.4548285847287,-13.434053817885482,-1000.0,1000.0001220703125,10.580460350760417,7.719462983543619,4.343795130242537
1,43,CP3,210.57552070828402,-11.567140842484713,-1000.0,1000.0001220703125,10.599478197821268,7.719462983543619,4.339634976197976
1,44,CP1,213.31428910440798,-17.314185048511977,-1000.0,1000.0001220703125,11.117120222508811,7.7753279092848695,4.349738207449053
1,45,CPZ,213.80090130658058,-22.154108265417634,-1000.0,1000.0001220703125,11.68587271117239,7.7913742177424625,4.334880514432763
1,46,CP2,211.03298908876238,-6.166722211659312,-1000.0,1000.0001220703125,10.233978949620534,7.745018215531638,4.353304053772963
1,47,CP4,212.30093108001753,-9.010610284446894,-1000.0,1000.0001220703125,10.032508632319642,7.773544986122914,4.375887747157723
1,48,CP6,210.81564489371712,-0.7583969418089478,-1000.0,1000.0001220703125,9.695536154710185,7.755715754503367,4.390745440174014
1,49,TP8,213.07626689403992,-20.223294492772244,-1000.0,1000.0001220703125,9.918401549954535,7.733132061118606,4.339634976197976
1,50,TP10,211.33912668979292,-5.4211395776649685,-1000.0,1000.0001220703125,9.702073539637352,7.770573447519656,4.373510516275117
1,51,P7,207.64020888108988,13.66417047484643,-1000.0,1000.0001220703125,9.696724770151489,7.724217445308831,4.4008486714250905
1,52,P5,213.31597212104117,-22.5810287291857,-1000.0,1000.0001220703125,10.922781597855739,7.769384832078353,4.349143899728401
1,53,P3,211.00631790299227,-8.323367073148166,-1000.0,1000.0001220703125,10.346303108823687,7.738480830604471,4.356869900096872
1,54,P1,212.19161027569828,-10.598353820116452,-1000.0,1000.0001220703125,10.51508650148874,7.762847447151186,4.353304053772963
1,55,PZ,211.9954127319718,-10.359919596222761,-1000.0,1000.0001220703125,10.386121726107342,7.774139293843567,4.342012207080582
1,56,P2,211.4987511920275,-4.551969967173878,-1000.0,1000.0001220703125,10.06876140327939,7.803260372155495,4.369944669951208
1,57,P4,210.9981053670482,-2.6122278547926454,-1000.0,1000.0001220703125,9.81618062200246,7.782459601932688,4.376482054878375
1,58,P6,212.78569106008064,-20.94749663559367,-1000.0,1000.0001220703125,10.16919940806951,7.758687293106625,4.332503283550157
1,59,P8,211.4233769690998,-12.77441710339711,-1000.0,1000.0001220703125,9.580834764624427,7.736103599721863,4.340823591639279
1,60,PO9,212.6886075827571,-28.97290348724726,-1000.0,1000.0001220703125,11.023219602645858,7.774733601564218,4.32240005229908
1,61,PO7,212.29946092161688,-20.730814606398884,-1000.0,1000.0001220703125,10.417025727581226,7.784242525094644,4.342012207080582
1,62,PO3,212.6343824760528,-17.96062649957426,-1000.0,1000.0001220703125,10.59650665921801,7.784836832815295,4.347955284287098
1,63,POZ,212.87813876996728,-17.655383045140614,-1000.0,1000.0001220703125,10.763507128721109,7.787808371418553,4.34498374568384
1,64,PO4,210.47104823247182,3.897338797759564,-1000.0,1000.0001220703125,9.653340306543923,7.850804989807622,4.410357594955516
1,65,PO8,211.47327161225186,-5.640283099668347,-1000.0,1000.0001220703125,9.688998769783018,7.822872526936997,4.378859285760981
1,66,PO10,210.8800151322542,-4.0726371716629375,-1000.0,1000.0001220703125,9.609361535215703,7.825249757819604,4.385990978408801
1,67,O1,217.33984894618274,-35.06042902658339,-1000.0,1000.0001220703125,32.06111860599181,7.774139293843567,4.340229283918627
1,68,OZ,212.90248447137935,-19.21282922712473,-1000.0,1000.0001220703125,11.083838990152321,7.767007601195747,4.346172361125143
1,69,O2,212.86536857062683,-14.370514246448518,-1000.0,1000.0001220703125,10.44792972905511,7.796128679507676,4.372321900833813
2,1,FP1,462.3718965555627,121.47560798168703,-1000.0,1000.0001220703125,44.32039810725209,31.612258313368212,22.728729674962377
2,2,FPZ,459.2993307239993,125.2641871106387,-1000.0,1000.0001220703125,41.969131476441156,30.944581167049673,22.477196299254093
2,3,FP2,460.0530403938312,125.22011533256578,-1000.0,1000.0001220703125,42.4868664808688,31.21512894480934,22.570638503620884
2,4,AF7,461.0030547408036,125.08821317823217,-1000.0,1000.0001220703125,43.058928348300384,32.534728447175276,22.62116248621456
2,5,AF3,461.3574349570081,108.29717879303216,-1000.0,1000.0001220703125,40.63377718380408,29.971587050648935,21.98064877139799
2,6,AFZ,457.8224555677131,118.26567169417068,-1000.0,1000.0001220703125,36.87327172667069,29.239260937355695,22.20936486464462
2,7,AF4,459.5258835147053,112.97382906626578,-1000.0,1000.0001220703125,38.9338896404105,29.650515290295594,22.05833618549364
2,8,AF8,460.4829634069784,117.4612758970802,-1000.0,1000.0001220703125,42.29780899761505,30.74465831119514,22.215340819575054
2,9,F9,458.9345575073063,112.75872905946079,-1000.0,1000.0001220703125,37.29376164632126,29.629871082354093,22.127874570138697
2,10,F7,458.71026608433806,114.98419628420062,-1000.0,1000.0001220703125,37.89081387073466,30.27907709525129,22.08169673658534
2,11,F5,460.80563201832615,105.26121055114537,-1000.0,1000.0001220703125,37.666443926528345,29.007285232328826,21.96489398112685
2,12,F3,455.43161675262706,123.41171394156659,-1000.0,1000.0001220703125,36.76027185162247,28.816054674554927,22.21968696861537
2,13,F1,456.56880149858995,117.18283571674094,-1000.0,1000.0001220703125,34.666514551450256,28.299406207387367,22.18872065670312
2,14,FZ,457.83567817405003,113.49722694891504,-1000.0,1000.0001220703125,34.9147883153783,28.263007209174724,22.122441883838302
2,15,F2,451.67359623698127,133.3092780090976,-1000.0,1000.0001220703125,34.66868762597041,28.038637264968408,22.37940794584698
2,16,F4,456.3846825572094,118.064883745874,-1000.0,1000.0001220703125,34.5969761668052,28.198358242200023,22.26532153353869
2,17,F6,455.83529726455544,120.30641945281096,-1000.0,1000.0001220703125,35.8926718494494,28.339608086010287,22.238701370666753
2,18,F8,456.8381933698344,121.84980929004644,-1000.0,1000.0001220703125,37.24812708139794,28.848107523727258,22.258802309978215
2,19,F10,462.5632857505722,103.132595180356,-1000.0,1000.0001220703125,40.76687799816375,28.954588175214997,22.03551890303198
2,20,FT9,458.9208404362186,109.65215049091631,-1000.0,1000.0001220703125,35.390148366662864,28.181516914668798,22.12081207794818
2,21,FT7,458.178238909056,111.49269158547146,-1000.0,1000.0001220703125,35.16577842245655,28.07177665140082,22.13765340547941
2,22,FC5,459.8418299249907,105.99042696823231,-1000.0,1000.0001220703125,35.01855262371585,28.008214221686195,22.094735183706288
2,23,FC3,459.4253812955181,105.84252257043939,-1000.0,1000.0001220703125,34.11944304100049,27.97507483525379,22.083869811105497
2,24,FC1,452.0775819541554,131.23330723412508,-1000.0,1000.0001220703125,33.45013608879183,27.67138767106171,22.39679254200825
2,25,FCZ,455.4944219501455,119.08967546546704,-1000.0,1000.0001220703125,33.06441536146379,27.734950100776327,22.270754219839084
2,26,FC2,458.10272497402394,110.66694979419168,-1000.0,1000.0001220703125,33.06441536146379,27.793079844190554,22.216427356835133
