subject,run,task_role,count
sub-015,3,remembered_incorrect,2
sub-015,3,to_ignore,2
sub-015,3,to_remember,44
sub-015,3,work_memory,1
sub-016,1,feedback_correct,2
sub-016,1,feedback_incorrect,1
sub-016,1,fixate,3
sub-016,1,ignored_correct,5
sub-016,1,ignored_incorrect,1
sub-016,1,indicate_ready,4
sub-016,1,probe_not_shown,6
sub-016,1,probe_target,11
sub-016,1,remembered_correct,5
sub-016,1,to_ignore,53
sub-016,1,to_remember,71
sub-016,1,work_memory,21
sub-016,2,fixate,4
sub-016,2,ignored_correct,2
sub-016,2,indicate_ready,4
sub-016,2,probe_not_shown,7
sub-016,2,probe_target,9
sub-016,2,remembered_correct,2
sub-016,2,to_ignore,51
sub-016,2,to_remember,62
sub-016,2,work_memory,18
sub-016,3,feedback_correct,3
sub-016,3,fixate,4
sub-016,3,ignored_correct,3
sub-016,3,indicate_ready,3
sub-016,3,probe_not_shown,6
sub-016,3,probe_target,11
sub-016,3,remembered_correct,3
sub-016,3,to_ignore,44
sub-016,3,to_remember,67
sub-016,3,work_memory,21
sub-017,1,feedback_correct,21
sub-017,1,fixate,7
sub-017,1,ignored_correct,5
sub-017,1,indicate_ready,7
sub-017,1,probe_not_shown,2
sub-017,1,probe_target,3
sub-017,1,remembered_correct,12
sub-017,1,to_ignore,24
sub-017,1,to_remember,35
sub-017,1,work_memory,5
sub-017,2,feedback_correct,15
sub-017,2,feedback_incorrect,2
sub-017,2,fixate,12
sub-017,2,ignored_correct,5
sub-017,2,ignored_incorrect,1
sub-017,2,indicate_ready,12
sub-017,2,probe_not_shown,6
sub-017,2,probe_target,10
sub-017,2,remembered_correct,10
sub-017,2,to_ignore,39
sub-017,2,to_remember,65
sub-017,2,work_memory,7
sub-017,3,bad_trial,4
sub-017,3,feedback_correct,18
sub-017,3,fixate,10
sub-017,3,ignored_correct,6
sub-017,3,indicate_ready,12
sub-017,3,probe_not_shown,6
sub-017,3,probe_target,6
sub-017,3,remembered_correct,12
sub-017,3,to_ignore,42
sub-017,3,to_remember,71
sub-017,3,work_memory,6
sub-018,1,feedback_correct,19
sub-018,1,feedback_incorrect,1
sub-018,1,fixate,18
sub-018,1,ignored_correct,8
sub-018,1,indicate_ready,18
sub-018,1,probe_not_shown,9
sub-018,1,probe_target,12
sub-018,1,remembered_correct,13
sub-018,1,remembered_incorrect,1
sub-018,1,to_ignore,60
sub-018,1,to_remember,104
sub-018,1,work_memory,20
sub-018,2,feedback_correct,23
sub-018,2,feedback_incorrect,1
sub-018,2,fixate,25
sub-018,2,ignored_correct,11
sub-018,2,ignored_incorrect,1
sub-018,2,indicate_ready,25
sub-018,2,probe_not_shown,11
sub-018,2,probe_target,14
sub-018,2,remembered_correct,13
sub-018,2,to_ignore,77
sub-018,2,to_remember,121
sub-018,2,work_memory,25
sub-018,3,feedback_correct,21
sub-018,3,feedback_incorrect,1
sub-018,3,fixate,25
