subject,run,trials,correct,wrong,unresolved,accuracy_percent,consistent,inconsistent,trials_needing_check,source_file
sub-016,3,25,24,1,0,96.0,9,0,23,sub-016_ses-01_task-WorkingMemory_run-3_eeg_events.csv
sub-017,1,25,25,0,0,100.0,10,0,15,sub-017_ses-01_task-WorkingMemory_run-1_eeg_events.csv
sub-017,2,25,23,2,0,92.0,13,0,12,sub-017_ses-01_task-WorkingMemory_run-2_eeg_events.csv
sub-017,3,25,23,0,2,100.0,10,0,16,sub-017_ses-01_task-WorkingMemory_run-3_eeg_events.csv
sub-018,1,25,24,1,0,96.0,9,0,16,sub-018_ses-01_task-WorkingMemory_run-1_eeg_events.csv
sub-018,2,25,24,1,0,96.0,12,0,13,sub-018_ses-01_task-WorkingMemory_run-2_eeg_events.csv
sub-018,3,25,24,1,0,96.0,9,0,16,sub-018_ses-01_task-WorkingMemory_run-3_eeg_events.csv
sub-019,1,25,23,2,0,92.0,10,0,16,sub-019_ses-01_task-WorkingMemory_run-1_eeg_events.csv
sub-019,2,25,25,0,0,100.0,11,0,14,sub-019_ses-01_task-WorkingMemory_run-2_eeg_events.csv
sub-019,3,25,22,3,0,88.0,11,0,15,sub-019_ses-01_task-WorkingMemory_run-3_eeg_events.csv
sub-020,1,25,24,1,0,96.0,9,0,16,sub-020_ses-01_task-WorkingMemory_run-1_eeg_events.csv
sub-020,2,25,25,0,0,100.0,11,0,14,sub-020_ses-01_task-WorkingMemory_run-2_eeg_events.csv
sub-020,3,25,24,1,0,96.0,11,0,15,sub-020_ses-01_task-WorkingMemory_run-3_eeg_events.csv
sub-021,1,25,25,0,0,100.0,10,0,15,sub-021_ses-01_task-WorkingMemory_run-1_eeg_events.csv
sub-021,2,26,25,1,0,96.15384615384616,10,0,16,sub-021_ses-01_task-WorkingMemory_run-2_eeg_events.csv
sub-021,3,25,25,0,0,100.0,10,0,17,sub-021_ses-01_task-WorkingMemory_run-3_eeg_events.csv
sub-022,1,22,19,2,1,90.47619047619048,11,0,16,sub-022_ses-01_task-WorkingMemory_run-1_eeg_events.csv
sub-022,2,14,13,0,1,100.0,6,0,14,sub-022_ses-01_task-WorkingMemory_run-2_eeg_events.csv
sub-022,3,25,23,2,0,92.0,12,0,25,sub-022_ses-01_task-WorkingMemory_run-3_eeg_events.csv
sub-022,4,25,24,1,0,96.0,16,0,18,sub-022_ses-01_task-WorkingMemory_run-4_eeg_events.csv
sub-022,5,25,24,1,0,96.0,9,0,20,sub-022_ses-01_task-WorkingMemory_run-5_eeg_events.csv
sub-022,6,25,23,1,1,95.83333333333334,11,0,18,sub-022_ses-01_task-WorkingMemory_run-6_eeg_events.csv
sub-023,1,26,23,2,1,92.0,8,0,26,sub-023_ses-01_task-WorkingMemory_run-1_eeg_events.csv
sub-023,2,25,24,1,0,96.0,12,0,25,sub-023_ses-01_task-WorkingMemory_run-2_eeg_events.csv
sub-023,3,25,24,1,0,96.0,11,0,25,sub-023_ses-01_task-WorkingMemory_run-3_eeg_events.csv
sub-023,4,25,24,1,0,96.0,14,0,25,sub-023_ses-01_task-WorkingMemory_run-4_eeg_events.csv
sub-023,5,25,25,0,0,100.0,10,0,25,sub-023_ses-01_task-WorkingMemory_run-5_eeg_events.csv
sub-024,1,25,10,15,0,40.0,25,0,0,sub-024_ses-01_task-WorkingMemory_run-1_eeg_events.csv
sub-024,2,25,11,14,0,44.0,25,0,0,sub-024_ses-01_task-WorkingMemory_run-2_eeg_events.csv
sub-024,3,25,10,15,0,40.0,25,0,0,sub-024_ses-01_task-WorkingMemory_run-3_eeg_events.csv
