target,model,n_rows,n_subjects,n_features,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,oof_accuracy,oof_balanced_accuracy,oof_f1,oof_roc_auc
remember,logistic_regression,21067,23,60,0.4884762754638771,0.031672436912120024,0.4874461026783619,0.023371894451793242,0.491479604932077,0.10222893526081678,0.4802391168624638,0.02690274963273609,0.488441638581668,0.4903132840016262,0.5026535603858046,0.483387218232568
remember,random_forest,21067,23,60,0.5230487795255496,0.025423624469960205,0.5025844915396681,0.016100009074932996,0.6319685576566287,0.02795240761070887,0.49758979289849314,0.037557068397311634,0.5237100678786728,0.4987164347668791,0.6350476467592929,0.4920281286089324
correct,logistic_regression,21067,23,60,0.47654061631632005,0.1618260707111379,0.480622930592978,0.039336328896604864,0.6168471228750694,0.1754763232300251,0.47973020179792536,0.053247040486604065,0.48246072055821904,0.4722093221257295,0.6396298132540076,0.4657487807520996
correct,random_forest,21067,23,60,0.946506662211674,0.022869081516684153,0.4995906346336601,0.0005624654813991267,0.9724009679112751,0.012237914678702588,0.4893024602236812,0.048934913098090387,0.9464090758057626,0.49914500677538237,0.972464086241799,0.4912757984624847
