subject,feature,remember_effect_size,correct_effect_size,remember_abs_effect,correct_abs_effect
sub-001,delta_abs,0.1247964328667809,0.027829422495179924,0.1247964328667809,0.027829422495179924
sub-001,theta_abs,0.045997598295529796,-0.19995363358462423,0.045997598295529796,0.19995363358462423
sub-001,alpha_abs,0.06644853661940467,-0.033348763999967675,0.06644853661940467,0.033348763999967675
sub-001,beta_abs,0.05134322424773897,-0.019261100825668048,0.05134322424773897,0.019261100825668048
sub-001,gamma_abs,-0.027497210729669794,-0.22544576318474774,0.027497210729669794,0.22544576318474774
sub-001,delta_rel,-0.034042801195459896,-0.018184398771807452,0.034042801195459896,0.018184398771807452
sub-001,theta_rel,-0.1700211168849586,-0.3539015182139233,0.1700211168849586,0.3539015182139233
sub-001,alpha_rel,0.10237935671412488,0.08217271594557032,0.10237935671412488,0.08217271594557032
sub-001,beta_rel,-0.012409449247513612,0.41174993324932074,0.012409449247513612,0.41174993324932074
sub-001,gamma_rel,-0.010324585133905955,0.010987239184897142,0.010324585133905955,0.010987239184897142
sub-001,theta_alpha_ratio,-0.02362449903399333,-0.18248841157657697,0.02362449903399333,0.18248841157657697
sub-001,theta_beta_ratio,0.01782838054679566,-0.4677524143599767,0.01782838054679566,0.4677524143599767
sub-001,alpha_beta_ratio,0.05557058361402237,-0.15300658388747604,0.05557058361402237,0.15300658388747604
sub-001,delta_theta_ratio,0.07087625924935353,0.1621630934977301,0.07087625924935353,0.1621630934977301
sub-001,alpha_frontal,0.04129229878271826,-0.16109406690228087,0.04129229878271826,0.16109406690228087
sub-001,beta_frontal,0.021323395341413573,-0.06046108006676671,0.021323395341413573,0.06046108006676671
sub-001,gamma_frontal,-0.05034888764898409,-0.20754353961135463,0.05034888764898409,0.20754353961135463
sub-001,delta_central,0.006205274368828199,-0.2716499613482576,0.006205274368828199,0.2716499613482576
sub-001,theta_central,0.04194932023665783,-0.08520617477872838,0.04194932023665783,0.08520617477872838
sub-001,alpha_central,0.07917327340261548,-0.026775965480442275,0.07917327340261548,0.026775965480442275
sub-001,beta_central,-0.025537140014407277,-0.06313491294445213,0.025537140014407277,0.06313491294445213
sub-001,gamma_central,-0.013177614623762327,-0.2242028733304175,0.013177614623762327,0.2242028733304175
sub-001,delta_parietal,0.15661112887802664,0.109622797687366,0.15661112887802664,0.109622797687366
sub-001,theta_parietal,-0.007200477177442718,-0.09770935711822346,0.007200477177442718,0.09770935711822346
sub-001,beta_parietal,0.09329247230596514,0.29166944632616526,0.09329247230596514,0.29166944632616526
sub-001,gamma_parietal,0.011580128788354413,-0.11102182990196316,0.011580128788354413,0.11102182990196316
sub-001,delta_occipital,0.1820302047267857,0.2166592323694382,0.1820302047267857,0.2166592323694382
sub-001,theta_occipital,-0.018622492129209803,-0.257852391932795,0.018622492129209803,0.257852391932795
sub-001,alpha_occipital,0.032002062011231895,-0.06549897036498958,0.032002062011231895,0.06549897036498958
sub-001,beta_occipital,0.06347212516977795,0.26759304170104353,0.06347212516977795,0.26759304170104353
sub-001,gamma_occipital,-0.06673645345050142,0.1807799617426002,0.06673645345050142,0.1807799617426002
sub-001,delta_temporal,0.034954613344220634,-0.22082663590433993,0.034954613344220634,0.22082663590433993
sub-001,theta_temporal,0.030525396428722377,0.04261707161236082,0.030525396428722377,0.04261707161236082
sub-001,alpha_temporal,0.04970428594450148,0.025934850364975837,0.04970428594450148,0.025934850364975837
sub-001,beta_temporal,0.09828052907299846,0.003080088906038684,0.09828052907299846,0.003080088906038684
sub-001,gamma_temporal,0.041039568588650384,-0.5422885454905226,0.041039568588650384,0.5422885454905226
sub-001,theta_alpha_frontal_ratio,-0.017673936581132168,-0.2878232590201264,0.017673936581132168,0.2878232590201264
sub-001,alpha_beta_frontal_ratio,0.00898891948210377,-0.30396711266185344,0.00898891948210377,0.30396711266185344
sub-001,theta_alpha_central_ratio,-0.045620874948670224,-0.030325508168320706,0.045620874948670224,0.030325508168320706
sub-001,alpha_beta_central_ratio,0.1588106401398667,0.05452684559471066,0.1588106401398667,0.05452684559471066
sub-001,theta_alpha_parietal_ratio,-0.057118450355164295,-0.171175874486769,0.057118450355164295,0.171175874486769
sub-001,alpha_beta_parietal_ratio,0.10518566684554262,-0.08100241827672934,0.10518566684554262,0.08100241827672934
sub-001,theta_alpha_occipital_ratio,-0.07155988840561546,-0.10861976135954689,0.07155988840561546,0.10861976135954689
sub-001,alpha_beta_occipital_ratio,0.037726426768604104,-0.039441263337225765,0.037726426768604104,0.039441263337225765
sub-001,theta_alpha_temporal_ratio,0.020270172153596742,-0.046901648419329985,0.020270172153596742,0.046901648419329985
sub-001,alpha_beta_temporal_ratio,-0.022833738642846164,0.11834998333117627,0.022833738642846164,0.11834998333117627
sub-001,delta_frontoparietal_diff,0.08885864654846319,-0.012390257338405406,0.08885864654846319,0.012390257338405406
sub-001,delta_frontoparietal_ratio,-0.04215726768548731,-0.211009985138499,0.04215726768548731,0.211009985138499
sub-001,theta_frontoparietal_diff,0.05780413997977797,-0.12698318019850743,0.05780413997977797,0.12698318019850743
sub-001,theta_frontoparietal_ratio,0.02645615336347708,-0.29359085812267444,0.02645615336347708,0.29359085812267444
sub-001,alpha_frontoparietal_diff,-0.09504864901680325,-0.1381025645446432,0.09504864901680325,0.1381025645446432
sub-001,alpha_frontoparietal_ratio,-0.11649289572054089,-0.23723457662559508,0.11649289572054089,0.23723457662559508
sub-001,beta_frontoparietal_diff,-0.019084143996474186,-0.12828081677809364,0.019084143996474186,0.12828081677809364
sub-001,beta_frontoparietal_ratio,0.0008757263006903055,-0.07802817155664953,0.0008757263006903055,0.07802817155664953
sub-001,gamma_frontoparietal_ratio,0.10144336206504576,0.2492114215641382,0.10144336206504576,0.2492114215641382
sub-002,delta_abs,-0.006531098689670166,,0.006531098689670166,
sub-002,theta_abs,-0.0214893069190447,,0.0214893069190447,
sub-002,alpha_abs,0.026687191914705685,,0.026687191914705685,
sub-002,beta_abs,0.05396050603061991,,0.05396050603061991,
sub-002,gamma_abs,0.04547040480081726,,0.04547040480081726,
sub-002,delta_rel,-0.03478680094492975,,0.03478680094492975,
sub-002,theta_rel,-0.002916815112368781,,0.002916815112368781,
sub-002,alpha_rel,0.007989722064015667,,0.007989722064015667,
sub-002,beta_rel,0.08077829770781615,,0.08077829770781615,
sub-002,gamma_rel,0.0755405694489668,,0.0755405694489668,
sub-002,theta_alpha_ratio,-0.019719137012044308,,0.019719137012044308,
sub-002,theta_beta_ratio,-0.01893793174572344,,0.01893793174572344,
sub-002,alpha_beta_ratio,-0.004756225031468532,,0.004756225031468532,
sub-002,delta_theta_ratio,0.02302741633922522,,0.02302741633922522,
