target,features,fdr_significant,robustness_available,strong_replicated,moderate_replicated,weak_replicated,significant_but_inconsistent,robust_but_not_fdr_significant,weak_or_unresolved
correct,56,40,55,0,4,26,9,0,15
remember,56,15,55,0,0,9,5,0,39
