target,feature,n_group_0,n_group_1,mean_group_0,mean_group_1,median_group_0,median_group_1,std_group_0,std_group_1,mean_difference,median_difference,t_stat,p_value,cohen_d,effect_magnitude,direction,p_fdr,significant_fdr,remember_subject_count,remember_subject_effect_mean,remember_subject_effect_median,remember_subject_effect_std,remember_positive_fraction,remember_negative_fraction,remember_direction_consistency,remember_direction,remember_robustness_class,correct_subject_count,correct_subject_effect_mean,correct_subject_effect_median,correct_subject_effect_std,correct_positive_fraction,correct_negative_fraction,correct_direction_consistency,correct_direction,correct_robustness_class,overall_robustness_class,scientific_rank,scientific_priority_score,robustness_class,fdr_significant,subject_robustness_available,target_subject_count,target_direction_consistency,target_direction,target_robustness_class,abs_cohen_d,scientific_evidence_class,subject_vs_statistical_direction,final_scientific_priority_score,final_scientific_rank
correct,alpha_beta_central_ratio,1059,20008,5.299144305615401,6.357961033562,3.521261533380698,4.138613145108845,5.161119958255464,6.757474720909835,1.0588167279465992,0.6173516117281475,6.392419431964029,2.29537880609731e-10,0.1583539341510638,negligible,positive,2.7374404943671806e-09,True,22.0,-0.0064813694963937,-0.0012023537617123,0.1239208938602874,0.5,0.5,0.5,mixed,mixed,17.0,0.1440296475896215,0.0918357757863384,0.2560959076672984,0.7647058823529411,0.2352941176470588,0.7647058823529411,positive,moderate,moderate,6,0.4425185407359574,not_available,True,True,17.0,0.7647058823529411,positive,moderate,0.1583539341510638,moderate_replicated,agreement,8.0,1.0
correct,theta_temporal,1059,20008,1.2643126007221177,1.5751647756613032,0.7803062038442103,0.7870941391326471,1.959280515528048,2.7729473455585176,0.3108521749391855,0.0067879352884367,4.909350561482224,1.0302754697184571e-06,0.113538613324556,negligible,positive,5.245038754930327e-06,True,22.0,-0.0033958097139939,0.0022911318684787,0.0896860351266982,0.5454545454545454,0.4545454545454545,0.5454545454545454,positive,mixed,17.0,0.1082657771770008,0.0660816722314345,0.216631356310664,0.7058823529411765,0.2941176470588235,0.7058823529411765,positive,moderate,moderate,22,0.4021847519921004,not_available,True,True,17.0,0.7058823529411765,positive,moderate,0.113538613324556,moderate_replicated,agreement,8.0,1.0
correct,theta_occipital,1059,20008,2.573875777170403,3.225378560753268,1.2113182051748568,1.349802391002465,5.019496471107093,6.351574643893204,0.6515027835828651,0.1384841858276082,4.055453864697963,5.3146938140196856e-05,0.1035544831678395,negligible,positive,0.0001541677604189,True,22.0,0.0014960811435249,0.0100555128668375,0.0925045353107332,0.5,0.5,0.5,mixed,mixed,17.0,0.0722755107648713,0.0680261649250033,0.1812572203455097,0.7058823529411765,0.2941176470588235,0.7058823529411765,positive,moderate,moderate,27,0.3931990348510555,not_available,True,True,17.0,0.7058823529411765,positive,moderate,0.1035544831678395,moderate_replicated,agreement,8.0,1.0
correct,delta_rel,1059,20008,0.4501330121080081,0.4106648975537708,0.4244882018453266,0.3894971039191753,0.2065849546148335,0.1885324429335318,-0.0394681145542373,-0.0349910979261512,-6.084546916966268,1.587265517897595e-09,-0.208296811598445,small,negative,1.1110858625283166e-08,True,22.0,0.0128622264586155,0.0100134032748007,0.1057295040378319,0.5454545454545454,0.4545454545454545,0.5454545454545454,positive,mixed,17.0,-0.0743944603072778,-0.0181843987718074,0.2665142152639937,0.3529411764705882,0.6470588235294118,0.6470588235294118,negative,weak,weak,4,0.4874671304386004,not_available,True,True,17.0,0.6470588235294118,negative,weak,0.208296811598445,weak_replicated,agreement,7.0,2.0
correct,beta_parietal,1059,20008,0.2974465511931445,0.3525618731700325,0.2495184071224784,0.2616003081450263,0.2685872507103882,0.3594827871454787,0.0551153219768879,0.0120819010225479,6.3821137096553135,2.4441432985421256e-10,0.1550481442910112,negligible,positive,2.7374404943671806e-09,True,22.0,-0.0059303388163629,0.0050942344560753,0.1370314278828085,0.5454545454545454,0.4545454545454545,0.5454545454545454,positive,mixed,17.0,0.0456835929960584,0.0300598021055862,0.2585608759860224,0.6470588235294118,0.3529411764705882,0.6470588235294118,positive,weak,weak,7,0.43954332986191,not_available,True,True,17.0,0.6470588235294118,positive,weak,0.1550481442910112,weak_replicated,agreement,7.0,2.0
correct,theta_central,1059,20008,1.0610205353673916,1.4103416282087649,0.5948337066072213,0.658484406128965,1.7628110542308992,2.3101343992417656,0.3493210928413732,0.0636506995217436,6.1741178369680165,8.960583513350942e-10,0.1528240647860177,negligible,positive,7.168466810680754e-09,True,22.0,-0.0041159072823488,0.011607086792101,0.113605800806231,0.5454545454545454,0.4545454545454545,0.5454545454545454,positive,mixed,17.0,0.1130771164149493,0.1026073676032386,0.3143562964532262,0.5882352941176471,0.4117647058823529,0.5882352941176471,positive,weak,weak,9,0.4375416583074159,not_available,True,True,17.0,0.5882352941176471,positive,weak,0.1528240647860177,weak_replicated,agreement,7.0,2.0
correct,alpha_beta_frontal_ratio,1059,20008,3.396731287888896,3.9892574387109416,2.06947738889579,2.5734395213353807,4.438216522700676,4.552452781254413,0.5925261508220454,0.5039621324395909,4.228429588160011,2.5352812416893972e-05,0.1303176474367501,negligible,positive,0.0001014112496675,True,22.0,0.0068680672331284,-0.0001755538643857,0.139233346238755,0.5,0.5,0.5,mixed,mixed,17.0,0.011768877838233,0.1052386511879747,0.2977090159764011,0.5882352941176471,0.4117647058823529,0.5882352941176471,positive,weak,weak,14,0.4172858826930751,not_available,True,True,17.0,0.5882352941176471,positive,weak,0.1303176474367501,weak_replicated,agreement,7.0,2.0
correct,beta_frontoparietal_diff,1059,20008,0.0794084499308361,0.0268612256465689,0.0011127848488406,-1.7155367644342447e-05,0.5328531183440398,0.3977675406030794,-0.0525472242842672,-0.0011299402164849,-3.162847891094436,0.0016042972183149,-0.1295457666058473,negligible,negative,0.0029946881408546,True,22.0,0.0150616756497997,0.0103621489766398,0.1535608676781241,0.5454545454545454,0.4545454545454545,0.5454545454545454,positive,mixed,17.0,-0.0394498609501584,-0.0650358100322439,0.3553253601600595,0.3529411764705882,0.6470588235294118,0.6470588235294118,negative,weak,weak,15,0.4165911899452625,not_available,True,True,17.0,0.6470588235294118,negative,weak,0.1295457666058473,weak_replicated,agreement,7.0,2.0
correct,alpha_rel,1059,20008,0.2155580591621264,0.2330884868868708,0.1899507481693337,0.2056888809138222,0.1357052701277565,0.1354180581138764,0.0175304277247444,0.0157381327444885,4.097230820359266,4.4687129872806026e-05,0.1294403336185308,negligible,positive,0.0001465080516652,True,22.0,-0.0031567144845136,0.0027394348243675,0.1019434999876411,0.5454545454545454,0.4545454545454545,0.5454545454545454,positive,mixed,17.0,0.0509783235501128,0.0454504463368716,0.1775602368839881,0.6470588235294118,0.3529411764705882,0.6470588235294118,positive,weak,weak,16,0.4164963002566777,not_available,True,True,17.0,0.6470588235294118,positive,weak,0.1294403336185308,weak_replicated,agreement,7.0,2.0
correct,theta_abs,1059,20008,1.7327137941335682,2.155545448627481,0.9485327460233196,1.1286646587206688,2.703123212520705,3.450766361039049,0.4228316544939132,0.1801319126973491,4.884087561688353,1.1737778450184356e-06,0.1237392080186769,negligible,positive,5.477629943419366e-06,True,22.0,-0.0029891438300134,0.0321264622211444,0.1122553050630414,0.5909090909090909,0.4090909090909091,0.5909090909090909,positive,weak,17.0,0.093064392613907,0.1011817885579857,0.2524917028092643,0.5882352941176471,0.4117647058823529,0.5882352941176471,positive,weak,weak,18,0.4113652872168092,not_available,True,True,17.0,0.5882352941176471,positive,weak,0.1237392080186769,weak_replicated,agreement,7.0,2.0
