target,feature,mean_difference,cohen_d,abs_cohen_d,p_fdr,fdr_significant,effect_magnitude_final,final_evidence_class,final_priority_score_v1,direction,ml_mean_abs_permutation_importance,ml_mean_sign_consistency,ml_mean_stability_score,ml_best_rank,remember_abs_effect,correct_abs_effect,cross_target_pattern,direction_relationship,significance_pattern,evidence_statistical_effect,evidence_fdr_significance,evidence_direction_consistency,evidence_ml_stability,evidence_ml_importance,evidence_cross_target,final_scientific_evidence_score,final_evidence_class_v2,final_scientific_rank_v2,global_feature_rank_v2
correct,theta_abs,0.4228316544939132,0.1237392080186769,0.1237392080186769,5.477629943419366e-06,True,negligible,significant_but_weak,4.0,positive,0.0111490543470897,0.8,0.0074800511417824,4,0.1930376038406147,0.4228316544939132,target_dissociated,opposite_direction,significant_both_targets,0.5484844340791298,1.0,0.0,0.8,0.7993104713636985,0.25,0.6020521556561524,strong_multilayer_evidence,16,6
correct,alpha_abs,0.2737862285941788,0.1011715846421198,0.1011715846421198,0.0029074766612216,True,negligible,significant_but_weak,4.0,positive,0.0080991555730645,1.0,0.0080991555730645,2,0.0458861984524665,0.2737862285941788,target_dissociated,opposite_direction,significant_correct_only,0.4478228980001078,1.0,0.0,1.0,0.5738526880786304,0.25,0.5943409933078901,moderate_multilayer_evidence,17,23
correct,theta_frontoparietal_ratio,-0.095871240909116,-0.1436826853394754,0.1436826853394754,0.0001240276747523,True,negligible,significant_but_weak,4.0,negative,0.00151312452548455,1.0,0.00151312452548455,40,0.0131054124356159,0.095871240909116,target_dissociated,opposite_direction,significant_correct_only,0.6374411234199365,1.0,0.0,1.0,0.08699326399541595,0.25,0.5930596072545259,moderate_multilayer_evidence,18,28
correct,theta_beta_ratio,0.7977931256118733,0.1075474890702915,0.1075474890702915,0.0002196680024521,True,negligible,significant_but_weak,4.0,positive,0.0093654184539337,0.9,0.0086930736881399,7,0.3424385498736004,0.7977931256118733,target_dissociated,opposite_direction,significant_both_targets,0.476262238861295,1.0,0.0,0.9,0.6674586872705811,0.25,0.5908114284423819,moderate_multilayer_evidence,19,8
remember,gamma_occipital,0.0153329162954944,0.121482354178585,0.121482354178585,1.877013265290833e-17,True,negligible,significant_but_weak,4.0,positive,0.0057535301373809,0.8,0.00534458703719855,5,0.0153329162954944,0.0132401140095298,weak_cross_target_pattern,same_direction,significant_both_targets,0.5384178723300765,1.0,0.0,0.8,0.40045692961929497,0.5,0.5846501610444488,moderate_multilayer_evidence,1,3
correct,beta_frontoparietal_diff,-0.0525472242842672,-0.1295457666058473,0.1295457666058473,0.0029946881408546,True,negligible,significant_but_weak,4.0,negative,0.0071649368344698,0.7,0.0049581179657687,8,0.0004816229401669,0.0525472242842672,weak_cross_target_pattern,same_direction,significant_correct_only,0.5743842418242633,1.0,0.0,0.7,0.5047924006681889,0.5,0.5840753005228848,moderate_multilayer_evidence,20,31
correct,alpha_central,0.2913718051586234,0.1548613622822838,0.1548613622822838,4.1929927970589225e-08,True,negligible,significant_but_weak,4.0,positive,0.00356808249547075,0.8,0.00255745366708945,25,0.0777916514710383,0.2913718051586234,target_dissociated,opposite_direction,significant_both_targets,0.6873029442071066,1.0,0.0,0.8,0.23890200031246073,0.25,0.5807159360830227,moderate_multilayer_evidence,21,11
correct,alpha_temporal,0.2003667333175489,0.100171074318177,0.100171074318177,0.001972721506344,True,negligible,significant_but_weak,4.0,positive,0.0060305022852520495,1.0,0.0060305022852520495,13,0.0507766219419318,0.2003667333175489,target_dissociated,opposite_direction,significant_correct_only,0.4433601814618825,1.0,0.0,1.0,0.42093155226007173,0.25,0.5779332005914779,moderate_multilayer_evidence,22,25
correct,delta_theta_ratio,-1.1145766762746154,-0.0968475666364546,0.0968475666364546,0.0001465080516652,True,negligible,significant_but_weak,3.0,negative,0.0009875659959552,0.8,0.00085216108995515,34,0.4211713678033959,1.1145766762746154,target_shared,same_direction,significant_correct_only,0.42853587396479215,1.0,0.0,0.8,0.04814238079122858,1.0,0.571948206570321,moderate_multilayer_evidence,23,24
correct,theta_parietal,0.6252947524007433,0.1193441987749964,0.1193441987749964,1.2914008919258045e-05,True,negligible,significant_but_weak,4.0,positive,0.0104165949155947,0.7,0.00921243450053165,4,0.3370532596592301,0.6252947524007433,target_dissociated,opposite_direction,significant_both_targets,0.5288807578670416,1.0,0.0,0.7,0.7451648448997892,0.25,0.5717366739567393,moderate_multilayer_evidence,24,9
