feature,remember_effect,correct_effect,remember_abs_effect,correct_abs_effect,effect_difference_correct_minus_remember,absolute_cross_target_difference,direction_relationship,target_specificity,cross_target_pattern,remember_p_fdr,correct_p_fdr,remember_fdr_significant,correct_fdr_significant,significance_pattern,target_dissociation_score,cross_target_rank
alpha_occipital,0.0827543413084308,0.3252131024252485,0.0827543413084308,0.3252131024252485,0.2424587611168177,0.2424587611168177,same_direction,correct_dominant,target_shared,0.6195672198226734,0.4467871442454787,False,False,not_fdr_significant,0.650426204850497,22
alpha_abs,-0.0458861984524665,0.2737862285941788,0.0458861984524665,0.2737862285941788,0.3196724270466453,0.3196724270466453,opposite_direction,correct_dominant,target_dissociated,0.3015399647253492,0.0029074766612216,False,True,significant_correct_only,0.6393448540932906,23
alpha_frontoparietal_diff,0.0684199667011435,-0.2457983468651301,0.0684199667011435,0.2457983468651301,-0.3142183135662736,0.3142183135662736,opposite_direction,correct_dominant,target_dissociated,0.288006678655872,0.0550740446736389,False,False,not_fdr_significant,0.6284366271325472,24
alpha_temporal,-0.0507766219419318,0.2003667333175489,0.0507766219419318,0.2003667333175489,0.25114335525948067,0.25114335525948067,opposite_direction,correct_dominant,target_dissociated,0.1534755902104805,0.001972721506344,False,True,significant_correct_only,0.5022867105189613,25
alpha_frontal,-0.0242559269682092,0.1761544002949546,0.0242559269682092,0.1761544002949546,0.2004103272631638,0.2004103272631638,opposite_direction,correct_dominant,target_dissociated,0.3941173734800816,0.0029946881408546,False,True,significant_correct_only,0.4008206545263276,26
beta_frontoparietal_ratio,-0.0463761073516613,-0.178807458673208,0.0463761073516613,0.178807458673208,-0.1324313513215467,0.1324313513215467,same_direction,correct_dominant,target_preferential,0.1999256381151888,0.0085918631731332,False,True,significant_correct_only,0.35761491734641604,27
theta_alpha_occipital_ratio,0.0298974587509148,0.1631099213552205,0.0298974587509148,0.1631099213552205,0.13321246260430572,0.13321246260430572,same_direction,correct_dominant,target_preferential,0.5208818257007937,0.0288426366003303,False,True,significant_correct_only,0.326219842710441,28
theta_frontoparietal_ratio,0.0131054124356159,-0.095871240909116,0.0131054124356159,0.095871240909116,-0.1089766533447319,0.1089766533447319,opposite_direction,correct_dominant,target_dissociated,0.2459270338739749,0.0001240276747523,False,True,significant_correct_only,0.2179533066894638,29
theta_alpha_parietal_ratio,-0.021540623757889,0.0862189671251065,0.021540623757889,0.0862189671251065,0.1077595908829955,0.1077595908829955,opposite_direction,correct_dominant,target_dissociated,0.393430396838869,0.0488369886158184,False,True,significant_correct_only,0.215519181765991,30
beta_temporal,0.0102360165548607,0.1063339822220392,0.0102360165548607,0.1063339822220392,0.0960979656671785,0.0960979656671785,same_direction,correct_dominant,target_preferential,0.226355094182684,4.4132371288135055e-24,False,True,significant_correct_only,0.2126679644440784,31
gamma_temporal,0.0114701590569815,0.0824967064193827,0.0114701590569815,0.0824967064193827,0.0710265473624012,0.0710265473624012,same_direction,correct_dominant,weak_cross_target_pattern,0.0695944480178895,4.008837981489088e-23,False,True,significant_correct_only,0.1649934128387654,32
delta_frontoparietal_ratio,0.0091484223653113,-0.069527851805583,0.0091484223653113,0.069527851805583,-0.0786762741708943,0.0786762741708943,opposite_direction,correct_dominant,weak_cross_target_pattern,0.6195672198226734,0.0459357547964619,False,True,significant_correct_only,0.1573525483417886,33
beta_parietal,0.00543485157311,0.0551153219768879,0.00543485157311,0.0551153219768879,0.0496804704037779,0.0496804704037779,same_direction,correct_dominant,weak_cross_target_pattern,0.3558232428929716,2.7374404943671806e-09,False,True,significant_correct_only,0.1102306439537758,34
beta_frontoparietal_diff,-0.0004816229401669,-0.0525472242842672,0.0004816229401669,0.0525472242842672,-0.0520656013441003,0.0520656013441003,same_direction,correct_dominant,weak_cross_target_pattern,0.9318645678505734,0.0029946881408546,False,True,significant_correct_only,0.1050944485685344,35
theta_alpha_temporal_ratio,-0.0404204162061454,-0.0099048116899713,0.0404204162061454,0.0099048116899713,0.030515604516174098,0.030515604516174098,same_direction,weak_both_targets,weak_cross_target_pattern,0.2325156448518141,0.8906554669090857,False,False,not_fdr_significant,0.0808408324122908,36
alpha_beta_temporal_ratio,-0.0396094661899448,-0.0317793366853029,0.0396094661899448,0.0317793366853029,0.007830129504641896,0.007830129504641896,same_direction,weak_both_targets,weak_cross_target_pattern,0.6195672198226734,0.8906554669090857,False,False,not_fdr_significant,0.0792189323798896,37
delta_rel,-0.0025564866389498,-0.0394681145542373,0.0025564866389498,0.0394681145542373,-0.0369116279152875,0.0369116279152875,same_direction,weak_both_targets,weak_cross_target_pattern,0.3948965932189974,1.1110858625283166e-08,False,True,significant_correct_only,0.0789362291084746,38
theta_alpha_frontal_ratio,-0.0374592341778501,-0.0279890214491596,0.0374592341778501,0.0279890214491596,0.009470212728690496,0.009470212728690496,same_direction,weak_both_targets,weak_cross_target_pattern,0.27700194077565,0.7103693696157518,False,False,not_fdr_significant,0.0749184683557002,39
beta_occipital,0.0124622517896336,0.03696126697373,0.0124622517896336,0.03696126697373,0.024499015184096397,0.024499015184096397,same_direction,weak_both_targets,weak_cross_target_pattern,0.1912390089786783,0.0140042952109003,False,True,significant_correct_only,0.07392253394746,40
theta_alpha_ratio,-0.0195697834671273,0.0160163635110861,0.0195697834671273,0.0160163635110861,0.0355861469782134,0.0355861469782134,opposite_direction,weak_both_targets,weak_cross_target_pattern,0.3941173734800816,0.7615209718709419,False,False,not_fdr_significant,0.0711722939564268,41
beta_abs,0.0058254016788378,0.0324235303582391,0.0058254016788378,0.0324235303582391,0.026598128679401298,0.026598128679401298,same_direction,weak_both_targets,weak_cross_target_pattern,0.2888167647544805,0.0033819575805418,False,True,significant_correct_only,0.0648470607164782,42
theta_rel,-0.0025920982226814,0.0247383786040161,0.0025920982226814,0.0247383786040161,0.027330476826697498,0.027330476826697498,opposite_direction,weak_both_targets,weak_cross_target_pattern,0.2365792551830987,4.763877686990766e-09,False,True,significant_correct_only,0.054660953653394996,43
alpha_frontoparietal_ratio,0.0066978027009623,-0.0200598330384644,0.0066978027009623,0.0200598330384644,-0.026757635739426702,0.026757635739426702,opposite_direction,weak_both_targets,weak_cross_target_pattern,0.2988155563626926,0.115737511894209,False,False,not_fdr_significant,0.053515271478853405,44
alpha_rel,0.0034309465301826,0.0175304277247444,0.0034309465301826,0.0175304277247444,0.014099481194561801,0.014099481194561801,same_direction,weak_both_targets,weak_cross_target_pattern,0.1534755902104805,0.0001465080516652,False,True,significant_correct_only,0.0350608554494888,45
beta_central,0.0062002185686043,0.0159778114775971,0.0062002185686043,0.0159778114775971,0.0097775929089928,0.0097775929089928,same_direction,weak_both_targets,weak_cross_target_pattern,0.075235628328045,0.0055011199100795,False,True,significant_correct_only,0.0319556229551942,46
gamma_occipital,0.0153329162954944,0.0132401140095298,0.0153329162954944,0.0132401140095298,-0.0020928022859646005,0.0020928022859646005,same_direction,weak_both_targets,weak_cross_target_pattern,1.877013265290833e-17,0.0001541677604189,True,True,significant_both_targets,0.030665832590988797,47
gamma_parietal,0.0067033358779924,0.0135698623330476,0.0067033358779924,0.0135698623330476,0.0068665264550552005,0.0068665264550552005,same_direction,weak_both_targets,weak_cross_target_pattern,6.381952089290735e-05,1.0619820128413021e-07,True,True,significant_both_targets,0.0271397246660952,48
gamma_abs,0.0061325332000337,0.0129560515684556,0.0061325332000337,0.0129560515684556,0.0068235183684219,0.0068235183684219,same_direction,weak_both_targets,weak_cross_target_pattern,0.091290198291162,0.2323581920120306,False,False,not_fdr_significant,0.0259121031369112,49
gamma_frontal,0.0004946483939569,-0.0095864648697016,0.0004946483939569,0.0095864648697016,-0.0100811132636585,0.0100811132636585,opposite_direction,weak_both_targets,weak_cross_target_pattern,0.9318645678505734,0.6941613184779467,False,False,not_fdr_significant,0.020162226527317,50
gamma_central,0.0055102751278641,0.0032240221168111,0.0055102751278641,0.0032240221168111,-0.002286253011053,0.002286253011053,same_direction,weak_both_targets,weak_cross_target_pattern,0.0298705373269322,0.4618488166486459,True,False,significant_remember_only,0.0110205502557282,51
theta_alpha_central_ratio,-0.0040230730696786,0.0011671837226672,0.0040230730696786,0.0011671837226672,0.0051902567923458,0.0051902567923458,opposite_direction,weak_both_targets,weak_cross_target_pattern,0.8787550533952064,0.9790552018633376,False,False,not_fdr_significant,0.010380513584691598,52
beta_frontal,0.0049532286329431,0.0025680976926206,0.0049532286329431,0.0025680976926206,-0.0023851309403225005,0.0023851309403225005,same_direction,weak_both_targets,weak_cross_target_pattern,0.4906610496685583,0.901876309660952,False,False,not_fdr_significant,0.0099064572658862,53
beta_rel,0.0014700022763138,-0.0015474107262714,0.0014700022763138,0.0015474107262714,-0.0030174130025852,0.0030174130025852,opposite_direction,weak_both_targets,weak_cross_target_pattern,0.0624524551161886,0.352561982543611,False,False,not_fdr_significant,0.0060348260051704,54
gamma_rel,0.0002476360551346,-0.0012532810482517,0.0002476360551346,0.0012532810482517,-0.0015009171033863,0.0015009171033863,opposite_direction,weak_both_targets,weak_cross_target_pattern,0.6195672198226734,0.3147258418455821,False,False,not_fdr_significant,0.0030018342067726,55
