target,features,FDR_significant,strong_replicated,moderate_replicated,significant_but_inconsistent,directional_candidate,weak_or_unresolved,mean_abs_cohen_d
correct,55,39,3,18,18,9,7,0.09373627539927328
remember,55,14,0,5,9,22,19,0.02800751535700947
