subject,file,sampling_rate,median_std,max_std,median_ptp,max_ptp,min_value,max_value,channels_over_5x,channels_over_10x,samples_near_1000
sub-002,sub-002_ses-01_task-WorkingMemory_run-1_eeg.set,250.0,38.452239990234375,107.20220184326172,759.4627685546875,1552.1368408203125,-782.6617431640625,991.2088623046875,0,0,0
sub-002,sub-002_ses-01_task-WorkingMemory_run-2_eeg.set,250.0,46.81312942504883,137.2194366455078,937.2406005859375,1755.3115234375,-800.2442626953125,1000.0001220703125,0,0,0
sub-002,sub-002_ses-01_task-WorkingMemory_run-3_eeg.set,250.0,51.43183898925781,132.5181427001953,1073.015869140625,2000.0001220703125,-1000.0,1000.0001220703125,0,0,1
sub-002,sub-002_ses-01_task-WorkingMemory_run-4_eeg.set,250.0,45.403385162353516,144.05441284179688,919.1697998046875,1794.8719482421875,-899.3894653320312,1000.0001220703125,0,0,0
sub-003,sub-003_ses-01_task-WorkingMemory_run-1_eeg.set,250.0,33.73284912109375,86.52993774414062,738.4616088867188,1553.1136474609375,-968.2539672851562,1000.0001220703125,0,0,0
sub-003,sub-003_ses-01_task-WorkingMemory_run-2_eeg.set,250.0,80.00204467773438,119.26705169677734,790.2320556640625,1500.854736328125,-1000.0,552.625244140625,0,0,235
sub-003,sub-003_ses-01_task-WorkingMemory_run-3_eeg.set,250.0,66.051513671875,94.9180908203125,1036.3858642578125,1430.5250244140625,-1000.0,659.5848999023438,0,0,256
sub-003,sub-003_ses-01_task-WorkingMemory_run-4_eeg.set,250.0,78.5186538696289,89.6181411743164,1208.3028564453125,1355.7998046875,-1000.0,437.3626708984375,0,0,12
sub-004,sub-004_ses-01_task-WorkingMemory_run-1_eeg.set,250.0,212.18655395507812,229.5847930908203,2000.0001220703125,2000.0001220703125,-1000.0,1000.0001220703125,0,0,24184
sub-004,sub-004_ses-01_task-WorkingMemory_run-2_eeg.set,250.0,457.8627624511719,462.6165466308594,2000.0001220703125,2000.0001220703125,-1000.0,1000.0001220703125,0,0,499913
sub-004,sub-004_ses-01_task-WorkingMemory_run-3_eeg.set,250.0,49.07606887817383,116.19071960449219,2000.0001220703125,2000.0001220703125,-1000.0,1000.0001220703125,0,0,431
sub-004,sub-004_ses-01_task-WorkingMemory_run-4_eeg.set,250.0,131.35084533691406,144.88771057128906,2000.0001220703125,2000.0001220703125,-1000.0,1000.0001220703125,0,0,1593
sub-008,sub-008_ses-01_task-WorkingMemory_run-1_eeg.set,250.0,18.75062370300293,46.59280776977539,447.3748779296875,899.6336669921875,-364.5909423828125,544.3223876953125,0,0,0
sub-008,sub-008_ses-01_task-WorkingMemory_run-2_eeg.set,250.0,34.77992248535156,56.08966064453125,1079.365234375,1321.123291015625,-873.5042724609375,906.715576171875,0,0,0
sub-008,sub-008_ses-01_task-WorkingMemory_run-3_eeg.set,250.0,42.925540924072266,70.28105926513672,1093.52880859375,1599.0233154296875,-861.7826538085938,890.598388671875,0,0,0
sub-008,sub-008_ses-01_task-WorkingMemory_run-4_eeg.set,250.0,68.30216217041016,87.61248779296875,1428.571533203125,1807.5703125,-1000.0,1000.0001220703125,0,0,1
sub-009,sub-009_ses-01_task-WorkingMemory_run-1_eeg.set,250.0,18.75244140625,43.64023971557617,363.3699645996094,1424.664306640625,-1000.0,501.8315734863281,0,0,10
sub-009,sub-009_ses-01_task-WorkingMemory_run-2_eeg.set,250.0,52.08560562133789,63.44284439086914,917.2161865234375,1349.4505615234375,-849.0842895507812,537.9732055664062,0,0,0
sub-009,sub-009_ses-01_task-WorkingMemory_run-3_eeg.set,250.0,21.5413761138916,42.309322357177734,525.030517578125,1592.1856689453125,-1000.0,592.1856689453125,0,0,40
sub-009,sub-009_ses-01_task-WorkingMemory_run-4_eeg.set,250.0,14.80815315246582,24.106765747070312,293.5286865234375,717.4603271484375,-571.6727905273438,298.6569519042969,0,0,0
sub-012,sub-012_ses-01_task-WorkingMemory_run-1_eeg.set,250.0,28.776622772216797,136.9042205810547,695.970703125,1473.9927978515625,-588.2783813476562,1000.0001220703125,0,0,0
sub-012,sub-012_ses-01_task-WorkingMemory_run-2_eeg.set,250.0,30.120384216308594,117.53280639648438,692.0634765625,1346.03173828125,-763.6141967773438,983.8828125,0,0,0
sub-012,sub-012_ses-01_task-WorkingMemory_run-3_eeg.set,250.0,33.29896545410156,152.57545471191406,738.949951171875,1528.2052001953125,-629.3040161132812,1000.0001220703125,0,0,0
sub-014,sub-014_ses-01_task-WorkingMemory_run-1_eeg.set,1000.0,21.610095977783203,181.25375366210938,547.36328125,999.9847412109375,-500.0,499.9847412109375,2,0,0
sub-014,sub-014_ses-01_task-WorkingMemory_run-2_eeg.set,1000.0,29.92402458190918,76.70108032226562,616.14990234375,997.0703125,-500.0,499.9847412109375,0,0,0
sub-014,sub-014_ses-01_task-WorkingMemory_run-3_eeg.set,1000.0,23.758882522583008,56.32888412475586,415.2374267578125,827.94189453125,-452.667236328125,499.9847412109375,0,0,0
sub-018,sub-018_ses-01_task-WorkingMemory_run-1_eeg.set,500.0,14.918597221374512,169.05467224121094,281.3262939453125,999.9847412109375,-500.0,499.9847412109375,1,1,0
sub-018,sub-018_ses-01_task-WorkingMemory_run-2_eeg.set,500.0,14.709649085998535,30.201934814453125,286.3311767578125,687.164306640625,-380.5694580078125,328.4912109375,0,0,0
sub-018,sub-018_ses-01_task-WorkingMemory_run-3_eeg.set,500.0,14.401159286499023,35.4659423828125,247.6348876953125,609.92431640625,-291.3360595703125,398.1781005859375,0,0,0
sub-024,sub-024_ses-01_task-WorkingMemory_run-1_eeg.set,500.0,23.066829681396484,79.0972900390625,226.7303466796875,849.2889404296875,-349.30419921875,499.9847412109375,0,0,0
sub-024,sub-024_ses-01_task-WorkingMemory_run-2_eeg.set,500.0,27.511287689208984,110.39120483398438,315.7501220703125,936.5386962890625,-483.33740234375,468.7957763671875,0,0,0
sub-024,sub-024_ses-01_task-WorkingMemory_run-3_eeg.set,500.0,22.818950653076172,80.53305053710938,202.7587890625,770.69091796875,-339.324951171875,499.9847412109375,0,0,0
