final_rank,feature,final_evidence_score,final_evidence_class,perturbation_max_abs_d,ml_mean_importance,ml_mean_sign_consistency,loso_mean_effect,r_fdr_significant,null_significant,evidence_percent,ml_stability_percent,perturbation_abs,product_evidence_category,product_priority
32,alpha_frontal,0.3725426889913495,limited_multilayer_evidence,0.099496406033894,0.0021939683097671,0.9,-0.0074321937544608,0,0,37.25426889913495,90.0,0.099496406033894,weak_evidence,P4
33,theta_alpha_parietal_ratio,0.3721162612767419,limited_multilayer_evidence,0.0563982204593509,0.0045144717681179,0.6000000000000001,0.0378613405217474,0,0,37.211626127674194,60.00000000000001,0.0563982204593509,weak_evidence,P4
34,delta_temporal,0.3460133546092475,limited_multilayer_evidence,0.0468236166143879,0.0016653490074815,0.9,0.0238167171599136,0,0,34.60133546092475,90.0,0.0468236166143879,weak_evidence,P4
35,beta_frontoparietal_ratio,0.3340741752018699,limited_multilayer_evidence,0.0878939764907035,0.0044128902309478,0.6,-0.0176319201442358,0,0,33.40741752018699,60.0,0.0878939764907035,weak_evidence,P4
36,delta_frontoparietal_ratio,0.3316714628110774,limited_multilayer_evidence,0.0574309172897982,0.0030330416944707,0.8,-0.0004685373283284,0,0,33.16714628110774,80.0,0.0574309172897982,weak_evidence,P4
37,beta_occipital,0.316922334413427,limited_multilayer_evidence,0.0689181029967217,0.0011811024770591,0.6,0.0224448348692571,0,0,31.692233441342697,60.0,0.0689181029967217,weak_evidence,P4
38,delta_theta_ratio,0.3105127440449416,limited_multilayer_evidence,0.0968475666364546,0.0009875659959552,0.8,-0.0276482225903109,0,0,31.051274404494162,80.0,0.0968475666364546,weak_evidence,P4
39,beta_central,0.2938708763413481,limited_multilayer_evidence,0.0771164318879058,0.0021501764855749,0.9,-0.0481929111765198,0,0,29.38708763413481,90.0,0.0771164318879058,weak_evidence,P4
40,gamma_central,0.2819772368624177,limited_multilayer_evidence,0.0350651750312705,0.0067983480610636,1.0,-0.0854590445424619,0,0,28.197723686241773,100.0,0.0350651750312705,weak_evidence,P4
41,alpha_beta_occipital_ratio,0.2701915681633744,limited_multilayer_evidence,0.078030347565542,0.0003363159658412,0.7,-0.0234306787068189,0,0,27.019156816337443,70.0,0.078030347565542,weak_evidence,P4
42,beta_rel,0.4425572293985128,weak_evidence,0.0341803801682514,0.0106082600620509,0.9,0.0072713237809621,0,0,44.255722939851275,90.0,0.0341803801682514,weak_evidence,P4
43,gamma_abs,0.4129634841068493,weak_evidence,0.0602417604193382,0.0076231290700134,1.0,-0.0156849359110342,0,0,41.29634841068493,100.0,0.0602417604193382,weak_evidence,P4
44,theta_alpha_frontal_ratio,0.4003668832113046,weak_evidence,0.0186542458605755,0.0066850128870469,0.9,0.0329310485056314,0,0,40.03668832113046,90.0,0.0186542458605755,weak_evidence,P4
45,gamma_frontal,0.3850582758170721,weak_evidence,0.0266857335426586,0.0068434442582831,1.0,0.0007864446779817,0,0,38.50582758170721,100.0,0.0266857335426586,weak_evidence,P4
46,theta_alpha_ratio,0.3722134487825845,weak_evidence,0.0136997910549058,0.0058340915162535,0.8,0.0367859979548337,0,0,37.22134487825845,80.0,0.0136997910549058,weak_evidence,P4
47,alpha_beta_temporal_ratio,0.3499326252018956,weak_evidence,0.0080214744846278,0.0018276411525332,0.9,0.0586398982992646,0,0,34.99326252018956,90.0,0.0080214744846278,weak_evidence,P4
48,alpha_frontoparietal_diff,0.336735488235609,weak_evidence,0.0643057311497376,0.0017077766773523,1.0,-0.0105506308357226,0,0,33.6735488235609,100.0,0.0643057311497376,weak_evidence,P4
49,delta_occipital,0.3333621628450273,weak_evidence,0.0174660790826604,0.0019900991317369,1.0,0.0242507614399765,0,0,33.336216284502726,100.0,0.0174660790826604,weak_evidence,P4
50,beta_frontal,0.3303648433584232,weak_evidence,0.0111369292690498,0.0036736515652114,1.0,0.0082334509011364,0,0,33.03648433584232,100.0,0.0111369292690498,weak_evidence,P4
51,gamma_rel,0.3039555930078367,weak_evidence,0.0383588679762054,0.0068870528335955,0.7,-0.0376754290775655,0,0,30.39555930078367,70.0,0.0383588679762054,weak_evidence,P4
52,theta_alpha_central_ratio,0.2897969113766087,weak_evidence,0.0026636156982537,0.0024272283492597,0.8,0.0216432483381679,0,0,28.97969113766087,80.0,0.0026636156982537,weak_evidence,P4
53,theta_alpha_temporal_ratio,0.2603719168155046,weak_evidence,0.0205651245509221,0.0014346148991075,0.5,0.0294462602360166,0,0,26.03719168155046,50.0,0.0205651245509221,weak_evidence,P4
54,alpha_occipital,0.2528323617834914,weak_evidence,0.0299271492552854,0.0019089796640454,0.8,-0.0245980783804836,0,0,25.28323617834914,80.0,0.0299271492552854,weak_evidence,P4
55,alpha_frontoparietal_ratio,0.2363280375990398,weak_evidence,0.0512989091636434,0.000581563761092,0.7,-0.0291584241714231,0,0,23.632803759903982,70.0,0.0512989091636434,low_evidence,P4
