source_file,subject,run,trial,memory_cond,event_count,has_fixation,has_work_memory,has_probe,has_feedback,has_to_remember,has_to_ignore,has_probe_target,has_probe_not_shown,accuracy,letters_presented,n_letters,response,feedback,start_sample,end_sample,start_latency,end_latency,expected_14_events,bad_trial
sub-005_ses-01_task-WorkingMemory_run-1_eeg.set,sub-005,,1,5,13,True,True,True,False,True,True,True,False,1.0,B H D R N Z V L R,9,1,,779,7340,779.0,7340.119965450001,False,False
sub-005_ses-01_task-WorkingMemory_run-1_eeg.set,sub-005,,2,7,13,True,True,True,False,True,True,True,False,1.0,C Z L K R G B T Z,9,1,,7345,12593,7345.244941975,12592.920919925,False,False
sub-005_ses-01_task-WorkingMemory_run-1_eeg.set,sub-005,,3,7,13,True,True,True,False,True,True,True,False,1.0,W K M C Q G B T B,9,1,,12600,17833,12600.170886725,17832.521934825,False,False
sub-005_ses-01_task-WorkingMemory_run-1_eeg.set,sub-005,,4,3,13,True,True,True,False,True,True,True,False,1.0,Q P J T Z K D C J,9,1,,17838,23250,17838.146909075,23250.2721342,False,False
sub-005_ses-01_task-WorkingMemory_run-1_eeg.set,sub-005,,5,5,13,True,True,True,False,True,True,True,False,1.0,D C L S J K H V L,9,1,,23256,28760,23256.27210675,28760.321911075,False,False
sub-005_ses-01_task-WorkingMemory_run-1_eeg.set,sub-005,,6,7,13,True,True,True,False,True,True,False,True,1.0,T H X S W Q K D F,9,1,,28767,34145,28766.671882025,34145.022261775,False,False
sub-005_ses-01_task-WorkingMemory_run-1_eeg.set,sub-005,,7,5,13,True,True,True,False,True,True,False,True,1.0,M G L Z B Y R C T,9,1,,34151,40031,34151.322232925,40030.620319525,False,False
sub-005_ses-01_task-WorkingMemory_run-1_eeg.set,sub-005,,8,3,13,True,True,True,False,True,True,True,False,1.0,D M B Y H Q C G C,9,1,,40039,45798,40038.89528165,45797.54392052499,False,False
sub-005_ses-01_task-WorkingMemory_run-1_eeg.set,sub-005,,9,5,13,True,True,True,False,True,True,True,False,1.0,K Z J V R H M S R,9,1,,45805,51340,45804.76888745,51340.39354725,False,False
sub-005_ses-01_task-WorkingMemory_run-1_eeg.set,sub-005,,10,3,13,True,True,True,False,True,True,False,True,1.0,S Z F D G W V Q L,9,1,,51349,56916,51348.643509475,56916.34302245,False,False
sub-005_ses-01_task-WorkingMemory_run-1_eeg.set,sub-005,,11,3,13,True,True,True,False,True,True,False,True,1.0,F B C R M J H T S,9,1,,56922,62591,56922.042996375,62591.16704505,False,False
sub-005_ses-01_task-WorkingMemory_run-1_eeg.set,sub-005,,12,7,13,True,True,True,False,True,True,False,True,1.0,X J N R S V Y H C,9,1,,62596,68385,62595.642024575005,68384.615524625,False,False
sub-005_ses-01_task-WorkingMemory_run-1_eeg.set,sub-005,,13,5,13,True,True,True,False,True,True,True,False,1.0,K C J Y L D M S J,9,1,,68391,75595,68390.99049545,75595.15751725,False,False
sub-005_ses-01_task-WorkingMemory_run-1_eeg.set,sub-005,,14,7,13,True,True,True,False,True,True,False,True,1.0,J C F M L K Q W B,9,1,,75603,81171,75602.882481875,81171.13199235,False,False
sub-005_ses-01_task-WorkingMemory_run-1_eeg.set,sub-005,,15,5,13,True,True,True,False,True,True,True,False,1.0,L G Q F Z T R M L,9,1,,81176,87960,81176.006970025,87959.77591625,False,False
sub-005_ses-01_task-WorkingMemory_run-1_eeg.set,sub-005,,16,3,13,True,True,True,False,True,True,True,False,1.0,D Y T J M K B F B,9,1,,87964,93470,87964.45089485,93469.7256936,False,False
