target,features_analyzed,fdr_significant_features,fdr_significant_fraction,mean_abs_cohen_d,median_abs_cohen_d,max_abs_cohen_d,large_effect_features,moderate_effect_features,small_effect_features,mean_direction_consistency
correct,55,39,0.7090909090909091,0.09373627539927328,0.100171074318177,0.2249658894032735,0,0,3,
remember,55,14,0.2545454545454545,0.028007515357009474,0.0224228531334693,0.121482354178585,0,0,0,
