target,feature,p_value,p_fdr,effect_size,mean_difference,direction,n_subjects_x,direction_consistency_x,positive_fraction,negative_fraction,direction_consistency_y,n_subjects_y,fdr_significant,abs_effect_size,effect_magnitude,direction_final,robustness_class,scientific_priority_score,scientific_rank
correct,memory_cond,2.6822666434454668e-27,1.5020693203294614e-25,-0.3472432767384936,-0.5633802192059907,negative,17.0,,0.1764705882352941,0.8235294117647058,0.8235294117647058,17,True,0.3472432767384936,moderate,negative,not_available,0.6125189490646442,1
correct,gamma_temporal,2.147591775797726e-24,4.008837981489088e-23,0.2249658894032735,0.0824967064193827,positive,17.0,,0.4117647058823529,0.5882352941176471,0.5882352941176471,17,True,0.2249658894032735,moderate,positive,not_available,0.5024693004629461,2
correct,beta_temporal,1.576156117433395e-25,4.4132371288135055e-24,0.2171282757930247,0.1063339822220392,positive,17.0,,0.5294117647058824,0.4705882352941176,0.5294117647058824,17,True,0.2171282757930247,moderate,positive,not_available,0.49541544821372224,3
correct,delta_rel,1.587265517897595e-09,1.1110858625283166e-08,-0.208296811598445,-0.0394681145542373,negative,17.0,,0.3529411764705882,0.6470588235294118,0.6470588235294118,17,True,0.208296811598445,moderate,negative,not_available,0.48746713043860046,4
correct,theta_rel,5.104154664632964e-10,4.763877686990766e-09,0.1940892963849802,0.0247383786040161,positive,17.0,,0.5294117647058824,0.4705882352941176,0.5294117647058824,17,True,0.1940892963849802,small,positive,not_available,0.4746803667464822,5
correct,alpha_beta_central_ratio,2.29537880609731e-10,2.7374404943671806e-09,0.1583539341510638,1.0588167279465992,positive,17.0,,0.7647058823529411,0.2352941176470588,0.7647058823529411,17,True,0.1583539341510638,small,positive,not_available,0.4425185407359574,6
correct,beta_parietal,2.4441432985421256e-10,2.7374404943671806e-09,0.1550481442910112,0.0551153219768879,positive,17.0,,0.6470588235294118,0.3529411764705882,0.6470588235294118,17,True,0.1550481442910112,small,positive,not_available,0.43954332986191,7
correct,alpha_central,6.738738423844696e-09,4.1929927970589225e-08,0.1548613622822838,0.2913718051586234,positive,17.0,,0.5294117647058824,0.4705882352941176,0.5294117647058824,17,True,0.1548613622822838,small,positive,not_available,0.43937522605405543,8
correct,theta_central,8.960583513350942e-10,7.168466810680754e-09,0.1528240647860177,0.3493210928413732,positive,17.0,,0.5882352941176471,0.4117647058823529,0.5882352941176471,17,True,0.1528240647860177,small,positive,not_available,0.4375416583074159,9
correct,theta_frontoparietal_ratio,3.543647850067478e-05,0.0001240276747523,-0.1436826853394754,-0.095871240909116,negative,17.0,,0.4705882352941176,0.5294117647058824,0.5294117647058824,17,True,0.1436826853394754,small,negative,not_available,0.42931441680552784,10
correct,delta_frontoparietal_diff,0.0014195169546128,0.0029074766612216,-0.1362394741852295,-1.5195109433680205,negative,17.0,,0.7058823529411765,0.2941176470588235,0.7058823529411765,17,True,0.1362394741852295,small,negative,not_available,0.42261552676670655,11
correct,delta_central,0.0009206806685264,0.0020622242878812,-0.1334880864554219,-0.3607989816160346,negative,17.0,,0.5294117647058824,0.4705882352941176,0.5294117647058824,17,True,0.1334880864554219,small,negative,not_available,0.4201392778098797,12
correct,delta_abs,0.0035686951792311,0.0058778508834395,-0.1317639434412088,-1.443957583598896,negative,17.0,,0.6470588235294118,0.3529411764705882,0.6470588235294118,17,True,0.1317639434412088,small,negative,not_available,0.4185875490970879,13
correct,alpha_beta_frontal_ratio,2.5352812416893972e-05,0.0001014112496675,0.1303176474367501,0.5925261508220454,positive,17.0,,0.5882352941176471,0.4117647058823529,0.5882352941176471,17,True,0.1303176474367501,small,positive,not_available,0.4172858826930751,14
correct,beta_frontoparietal_diff,0.0016042972183149,0.0029946881408546,-0.1295457666058473,-0.0525472242842672,negative,17.0,,0.3529411764705882,0.6470588235294118,0.6470588235294118,17,True,0.1295457666058473,small,negative,not_available,0.41659118994526256,15
correct,alpha_rel,4.4687129872806026e-05,0.0001465080516652,0.1294403336185308,0.0175304277247444,positive,17.0,,0.6470588235294118,0.3529411764705882,0.6470588235294118,17,True,0.1294403336185308,small,positive,not_available,0.4164963002566777,16
correct,gamma_parietal,1.896396451502325e-08,1.0619820128413021e-07,0.1242595828151386,0.0135698623330476,positive,17.0,,0.4117647058823529,0.5882352941176471,0.5882352941176471,17,True,0.1242595828151386,small,positive,not_available,0.4118336245336247,17
correct,theta_abs,1.1737778450184356e-06,5.477629943419366e-06,0.1237392080186769,0.4228316544939132,positive,17.0,,0.5882352941176471,0.4117647058823529,0.5882352941176471,17,True,0.1237392080186769,small,positive,not_available,0.4113652872168092,18
correct,delta_parietal,0.0023902415828268,0.0041829227699469,-0.1212282540480741,-0.7315767031354068,negative,17.0,,0.6470588235294118,0.3529411764705882,0.6470588235294118,17,True,0.1212282540480741,small,negative,not_available,0.40910542864326666,19
correct,alpha_beta_parietal_ratio,2.848251636495596e-05,0.0001063347277625,0.1202418218023179,0.9835138032318582,positive,17.0,,0.5882352941176471,0.4117647058823529,0.5882352941176471,17,True,0.1202418218023179,small,positive,not_available,0.4082176396220861,20
correct,theta_parietal,2.9978949276849037e-06,1.2914008919258045e-05,0.1193441987749964,0.6252947524007433,positive,17.0,,0.6470588235294118,0.3529411764705882,0.6470588235294118,17,True,0.1193441987749964,small,positive,not_available,0.40740977889749674,21
correct,theta_temporal,1.0302754697184571e-06,5.245038754930327e-06,0.113538613324556,0.3108521749391855,positive,17.0,,0.7058823529411765,0.2941176470588235,0.7058823529411765,17,True,0.113538613324556,small,positive,not_available,0.4021847519921004,22
correct,alpha_beta_ratio,0.000381800127919,0.0009296003114551,0.1115741527988019,0.538241535729493,positive,17.0,,0.6470588235294118,0.3529411764705882,0.6470588235294118,17,True,0.1115741527988019,small,positive,not_available,0.4004167375189217,23
correct,gamma_frontoparietal_ratio,0.0009574612765163,0.0020622242878812,-0.1110780447761194,-0.5796949672324905,negative,17.0,,0.4117647058823529,0.5882352941176471,0.5882352941176471,17,True,0.1110780447761194,small,negative,not_available,0.3999702402985075,24
correct,theta_beta_ratio,8.237550091956377e-05,0.0002196680024521,0.1075474890702915,0.7977931256118733,positive,17.0,,0.5882352941176471,0.4117647058823529,0.5882352941176471,17,True,0.1075474890702915,small,positive,not_available,0.3967927401632623,25
correct,gamma_occipital,5.505991443534681e-05,0.0001541677604189,0.1047373741240041,0.0132401140095298,positive,17.0,,0.3529411764705882,0.6470588235294118,0.6470588235294118,17,True,0.1047373741240041,small,positive,not_available,0.3942636367116037,26
correct,theta_occipital,5.3146938140196856e-05,0.0001541677604189,0.1035544831678395,0.6515027835828651,positive,17.0,,0.7058823529411765,0.2941176470588235,0.7058823529411765,17,True,0.1035544831678395,small,positive,not_available,0.39319903485105556,27
correct,alpha_abs,0.0014537383306108,0.0029074766612216,0.1011715846421198,0.2737862285941788,positive,17.0,,0.4117647058823529,0.5882352941176471,0.5882352941176471,17,True,0.1011715846421198,small,positive,not_available,0.3910544261779078,28
correct,alpha_temporal,0.0008454520741474,0.001972721506344,0.100171074318177,0.2003667333175489,positive,17.0,,0.5882352941176471,0.4117647058823529,0.5882352941176471,17,True,0.100171074318177,small,positive,not_available,0.3901539668863593,29
correct,alpha_frontal,0.0015796926762239,0.0029946881408546,0.099496406033894,0.1761544002949546,positive,17.0,,0.3529411764705882,0.6470588235294118,0.6470588235294118,17,True,0.099496406033894,negligible,positive,not_available,0.3895467654305046,30
correct,theta_frontoparietal_diff,0.0001270764127851,0.000323467232544,-0.0980979543414767,-0.3007786594133896,negative,17.0,,0.4705882352941176,0.5294117647058824,0.5294117647058824,17,True,0.0980979543414767,negligible,negative,not_available,0.38828815890732904,31
correct,beta_abs,0.0018721550892285,0.0033819575805418,0.0978581244466391,0.0324235303582391,positive,17.0,,0.5882352941176471,0.4117647058823529,0.5882352941176471,17,True,0.0978581244466391,negligible,positive,not_available,0.3880723120019752,32
correct,delta_theta_ratio,4.709187374955531e-05,0.0001465080516652,-0.0968475666364546,-1.1145766762746154,negative,17.0,,0.5294117647058824,0.4705882352941176,0.5294117647058824,17,True,0.0968475666364546,negligible,negative,not_available,0.3871628099728091,33
correct,beta_frontoparietal_ratio,0.0055233406112999,0.0085918631731332,-0.0878939764907035,-0.178807458673208,negative,17.0,,0.3529411764705882,0.6470588235294118,0.6470588235294118,17,True,0.0878939764907035,negligible,negative,not_available,0.3791045788416332,34
correct,alpha_beta_occipital_ratio,0.0040576913265373,0.0064923061224597,0.078030347565542,0.9078951350575944,positive,17.0,,0.5294117647058824,0.4705882352941176,0.5294117647058824,17,True,0.078030347565542,negligible,positive,not_available,0.3702273128089878,35
