metric,value
scientific_rows,21816
mapping_rows,21067
feature_unique_keys,21816
mapping_unique_keys,21067
overlap_keys,21067
feature_duplicate_keys,0
mapping_duplicate_keys,0
merged_rows,21067
valid_target_rows,21067
invalid_target_rows,0
final_ml_rows,21067
subjects,23
runs,6
trials,25
nan_numeric_values,0
inf_numeric_values,0
