target,model,split,rows,accuracy,balanced_accuracy,precision,recall,f1,roc_auc
remember,logistic_regression,validation,3084,0.4458495460440986,0.43857839290185346,0.3333333333333333,0.13554817275747508,0.19272555503070382,0.4287229185383743
remember,logistic_regression,test,3655,0.47004103967168265,0.46476700532107795,0.5202601300650325,0.5153617443012884,0.517799352750809,0.43587008311876063
remember,random_forest,validation,3084,0.44228274967574577,0.4428800767549166,0.43376463339494764,0.4677740863787375,0.45012787723785164,0.4074806587288729
remember,random_forest,test,3655,0.4503419972640219,0.4434098913080988,0.5021961932650073,0.5099108027750248,0.5060240963855421,0.4255613649421547
correct,logistic_regression,validation,3084,0.5262645914396887,0.6004050662814429,0.9187158469945356,0.5005582433941198,0.6480366176824861,0.6252222896134856
correct,logistic_regression,test,3655,0.5244870041039672,0.6006052567112992,0.9840679766330324,0.520359449592811,0.6807494489346069,0.5467804286388596
correct,random_forest,validation,3084,0.8702983138780804,0.49944175660588014,0.8711457319052256,0.9988835132117603,0.9306518723994452,0.6877047712701984
correct,random_forest,test,3655,0.944733242134063,0.4848357203032856,0.9734987313222442,0.9696714406065712,0.9715813168261114,0.5449177555910065
