target,feature,n,subjects,beta,se,odds_ratio,ci_low,ci_high,p_value,singular,converged,p_fdr,effect_direction,effect_magnitude,fdr_significant
target_correct,gamma_parietal,21067,23,-0.10189599723584271,0.04211859940431674,0.9031234741223788,0.8315628041372422,0.9808423434199952,0.015551962869176834,FALSE,TRUE,0.466558886075305,negative,very_small,FALSE
target_correct,gamma_temporal,21067,23,-0.10141253467693538,0.0408087847721532,0.9035602060714535,0.8341035256682573,0.9788006175154299,0.012952731851577881,FALSE,TRUE,0.466558886075305,negative,very_small,FALSE
target_correct,delta_abs,21067,23,0.08828114001962449,0.048271524876514565,1.0922951667495113,0.9936889501238719,1.2006863225716773,0.06742282187539989,FALSE,TRUE,0.5827241271031729,positive,very_small,FALSE
target_correct,beta_abs,21067,23,0.10409413573180912,0.0674960213417124,1.1097049128829581,0.972195788703971,1.2666635753670632,0.12301862385585612,FALSE,TRUE,0.5827241271031729,positive,very_small,FALSE
target_correct,gamma_rel,21067,23,-0.07629067882843785,0.03527648759388797,0.926546839861777,0.8646481701411937,0.9928767284821265,0.030568146717788052,FALSE,TRUE,0.5827241271031729,negative,very_small,FALSE
target_correct,delta_frontal,21067,23,0.0834805680827938,0.04873478713856964,1.0870640913482177,0.988032571464042,1.1960216422295677,0.08672055140690142,FALSE,TRUE,0.5827241271031729,positive,very_small,FALSE
target_correct,beta_frontal,21067,23,0.102492756063978,0.060510167544835944,1.1079292761119424,0.9840218544949764,1.2474390434101883,0.09030130160651334,FALSE,TRUE,0.5827241271031729,positive,very_small,FALSE
target_correct,gamma_central,21067,23,-0.053082679682689905,0.02707887624576709,0.948301603965237,0.8992832002772092,0.9999919177916748,0.04996091472382485,FALSE,TRUE,0.5827241271031729,negative,very_small,FALSE
target_correct,gamma_occipital,21067,23,-0.0870993512550978,0.044923640809116455,0.9165860271371413,0.83933137416794,1.0009514370601242,0.0525219096699391,FALSE,TRUE,0.5827241271031729,negative,very_small,FALSE
target_correct,delta_temporal,21067,23,0.10958240118194358,0.07059635116366435,1.1158120113756596,0.9716239354230516,1.2813974618565749,0.12060507587666784,FALSE,TRUE,0.5827241271031729,positive,very_small,FALSE
target_correct,theta_temporal,21067,23,0.08200238829582886,0.05363031719643709,1.0854584022222278,0.9771520267058519,1.2057693283682933,0.12625689420568748,FALSE,TRUE,0.5827241271031729,positive,very_small,FALSE
target_correct,theta_alpha_occipital_ratio,21067,23,0.07055984247708859,0.04498449617872811,1.0731087849971643,0.9825443758165199,1.1720208193966932,0.11675588385936662,FALSE,TRUE,0.5827241271031729,positive,very_small,FALSE
