target,feature,mean_difference,cohen_d,p_fdr,classification
correct,memory_cond,-0.5633802192059907,-0.3472432767384936,1.5020693203294614e-25,moderate
correct,beta_temporal,0.1063339822220392,0.2171282757930247,4.4132371288135055e-24,moderate
correct,gamma_temporal,0.0824967064193827,0.2249658894032735,4.008837981489088e-23,moderate
correct,alpha_beta_central_ratio,1.0588167279465992,0.1583539341510638,2.7374404943671806e-09,statistically_significant_small
correct,beta_parietal,0.0551153219768879,0.1550481442910112,2.7374404943671806e-09,statistically_significant_small
correct,theta_rel,0.0247383786040161,0.1940892963849802,4.763877686990766e-09,statistically_significant_small
correct,theta_central,0.3493210928413732,0.1528240647860177,7.168466810680754e-09,statistically_significant_small
correct,delta_rel,-0.0394681145542373,-0.208296811598445,1.1110858625283166e-08,moderate
correct,alpha_central,0.2913718051586234,0.1548613622822838,4.1929927970589225e-08,statistically_significant_small
correct,gamma_parietal,0.0135698623330476,0.1242595828151386,1.0619820128413021e-07,statistically_significant_small
correct,theta_temporal,0.3108521749391855,0.113538613324556,5.245038754930327e-06,statistically_significant_small
correct,theta_abs,0.4228316544939132,0.1237392080186769,5.477629943419366e-06,statistically_significant_small
correct,theta_parietal,0.6252947524007433,0.1193441987749964,1.2914008919258045e-05,statistically_significant_small
correct,alpha_beta_frontal_ratio,0.5925261508220454,0.1303176474367501,0.0001014112496675,statistically_significant_small
correct,alpha_beta_parietal_ratio,0.9835138032318582,0.1202418218023179,0.0001063347277625,statistically_significant_small
correct,theta_frontoparietal_ratio,-0.095871240909116,-0.1436826853394754,0.0001240276747523,statistically_significant_small
correct,alpha_rel,0.0175304277247444,0.1294403336185308,0.0001465080516652,statistically_significant_small
correct,delta_theta_ratio,-1.1145766762746154,-0.0968475666364546,0.0001465080516652,statistically_significant_small
correct,gamma_occipital,0.0132401140095298,0.1047373741240041,0.0001541677604189,statistically_significant_small
correct,theta_occipital,0.6515027835828651,0.1035544831678395,0.0001541677604189,statistically_significant_small
correct,theta_beta_ratio,0.7977931256118733,0.1075474890702915,0.0002196680024521,statistically_significant_small
correct,theta_frontoparietal_diff,-0.3007786594133896,-0.0980979543414767,0.000323467232544,statistically_significant_small
correct,alpha_beta_ratio,0.538241535729493,0.1115741527988019,0.0009296003114551,statistically_significant_small
correct,alpha_temporal,0.2003667333175489,0.100171074318177,0.001972721506344,statistically_significant_small
correct,gamma_frontoparietal_ratio,-0.5796949672324905,-0.1110780447761194,0.0020622242878812,statistically_significant_small
correct,delta_central,-0.3607989816160346,-0.1334880864554219,0.0020622242878812,statistically_significant_small
correct,alpha_abs,0.2737862285941788,0.1011715846421198,0.0029074766612216,statistically_significant_small
correct,delta_frontoparietal_diff,-1.5195109433680205,-0.1362394741852295,0.0029074766612216,statistically_significant_small
correct,alpha_frontal,0.1761544002949546,0.099496406033894,0.0029946881408546,statistically_significant_small
correct,beta_frontoparietal_diff,-0.0525472242842672,-0.1295457666058473,0.0029946881408546,statistically_significant_small
correct,beta_abs,0.0324235303582391,0.0978581244466391,0.0033819575805418,statistically_significant_small
correct,delta_parietal,-0.7315767031354068,-0.1212282540480741,0.0041829227699469,statistically_significant_small
correct,beta_central,0.0159778114775971,0.0771164318879058,0.0055011199100795,statistically_significant_small
correct,delta_abs,-1.443957583598896,-0.1317639434412088,0.0058778508834395,statistically_significant_small
correct,alpha_beta_occipital_ratio,0.9078951350575944,0.078030347565542,0.0064923061224597,statistically_significant_small
correct,beta_frontoparietal_ratio,-0.178807458673208,-0.0878939764907035,0.0085918631731332,statistically_significant_small
correct,beta_occipital,0.03696126697373,0.0689181029967217,0.0140042952109003,statistically_significant_small
correct,theta_alpha_occipital_ratio,0.1631099213552205,0.056103224729366,0.0288426366003303,statistically_significant_small
correct,delta_frontoparietal_ratio,-0.069527851805583,-0.0574309172897982,0.0459357547964619,statistically_significant_small
correct,theta_alpha_parietal_ratio,0.0862189671251065,0.0563982204593509,0.0488369886158184,statistically_significant_small
correct,alpha_frontoparietal_diff,-0.2457983468651301,-0.0643057311497376,0.0550740446736389,not_fdr_significant
correct,alpha_frontoparietal_ratio,-0.0200598330384644,-0.0512989091636434,0.115737511894209,not_fdr_significant
correct,delta_temporal,-0.2506245280249448,-0.0329228639910991,0.2160553922594293,not_fdr_significant
correct,gamma_abs,0.0129560515684556,0.0602417604193382,0.2323581920120306,not_fdr_significant
correct,delta_occipital,0.4761461561323274,0.0174660790826604,0.314151408837659,not_fdr_significant
correct,gamma_rel,-0.0012532810482517,-0.0383588679762054,0.3147258418455821,not_fdr_significant
correct,beta_rel,-0.0015474107262714,-0.0341803801682514,0.352561982543611,not_fdr_significant
correct,alpha_occipital,0.3252131024252485,0.0299271492552854,0.4467871442454787,not_fdr_significant
correct,gamma_central,0.0032240221168111,0.0205134634057944,0.4618488166486459,not_fdr_significant
correct,gamma_frontal,-0.0095864648697016,-0.0266857335426586,0.6941613184779467,not_fdr_significant
correct,theta_alpha_frontal_ratio,-0.0279890214491596,-0.0139376584825778,0.7103693696157518,not_fdr_significant
correct,theta_alpha_ratio,0.0160163635110861,0.0112119990113349,0.7615209718709419,not_fdr_significant
correct,theta_alpha_temporal_ratio,-0.0099048116899713,-0.0050391154361881,0.8906554669090857,not_fdr_significant
correct,alpha_beta_temporal_ratio,-0.0317793366853029,-0.0064357181233943,0.8906554669090857,not_fdr_significant
correct,beta_frontal,0.0025680976926206,0.0057740734374395,0.901876309660952,not_fdr_significant
correct,theta_alpha_central_ratio,0.0011671837226672,0.0007727739828918,0.9790552018633376,not_fdr_significant
remember,memory_cond,-0.1514282864966007,-0.0931663290260438,4.137419783730517e-10,statistically_significant_small
remember,beta_temporal,0.0102360165548607,0.020879038033935,0.226355094182684,not_fdr_significant
remember,gamma_temporal,0.0114701590569815,0.0312448118356394,0.0695944480178895,not_fdr_significant
remember,alpha_beta_central_ratio,-0.2817822470669995,-0.0421266841185034,0.0114251934499194,statistically_significant_small
remember,beta_parietal,0.00543485157311,0.0152807745495806,0.3558232428929716,not_fdr_significant
remember,theta_rel,-0.0025920982226814,-0.0203195364647338,0.2365792551830987,not_fdr_significant
remember,theta_central,-0.1245452053242046,-0.0544767857481047,0.0006842357801919,statistically_significant_small
remember,delta_rel,-0.0025564866389498,-0.0134784566816841,0.3948965932189974,not_fdr_significant
remember,alpha_central,-0.0777916514710383,-0.0413306165575085,0.013157370794358,statistically_significant_small
remember,gamma_parietal,0.0067033358779924,0.0613886340082469,6.381952089290735e-05,statistically_significant_small
remember,theta_temporal,-0.1777613758745846,-0.0649411751065834,6.358390947165893e-05,statistically_significant_small
remember,theta_abs,-0.1930376038406147,-0.0564929984650997,0.0004393692914317,statistically_significant_small
remember,theta_parietal,-0.3370532596592301,-0.064341317636975,6.358390947165893e-05,statistically_significant_small
remember,alpha_beta_frontal_ratio,-0.114316307364513,-0.0251340145453779,0.1537306237957149,not_fdr_significant
remember,alpha_beta_parietal_ratio,-0.1230716605649302,-0.0150416495942942,0.3612440624792554,not_fdr_significant
remember,theta_frontoparietal_ratio,0.0131054124356159,0.0196324079613274,0.2459270338739749,not_fdr_significant
remember,alpha_rel,0.0034309465301826,0.0253251429847427,0.1534755902104805,not_fdr_significant
remember,delta_theta_ratio,-0.4211713678033959,-0.0365942103721929,0.0528720554185598,not_fdr_significant
remember,gamma_occipital,0.0153329162954944,0.121482354178585,1.8770132652908332e-17,statistically_significant_small
remember,theta_occipital,-0.1364415539417218,-0.0216827027461096,0.2217732219267152,not_fdr_significant
remember,theta_beta_ratio,-0.3424385498736004,-0.0461622866138733,0.0053448649841291,statistically_significant_small
remember,theta_frontoparietal_diff,0.1770006101954757,0.0577387196849785,0.000384690812106,statistically_significant_small
remember,alpha_beta_ratio,-0.1015785012376735,-0.0210514973095009,0.226355094182684,not_fdr_significant
remember,alpha_temporal,-0.0507766219419318,-0.0253811414745022,0.1534755902104805,not_fdr_significant
remember,gamma_frontoparietal_ratio,-0.2465378010723733,-0.0472393923056144,0.0043090467750375,statistically_significant_small
remember,delta_central,-0.0850755417405622,-0.0314666493462431,0.0704710631615681,not_fdr_significant
remember,alpha_abs,-0.0458861984524665,-0.0169526810028491,0.3015399647253492,not_fdr_significant
remember,delta_frontoparietal_diff,-0.2501825786103073,-0.0224228531334693,0.2099856088182827,not_fdr_significant
remember,alpha_frontal,-0.0242559269682092,-0.0136974350604846,0.3941173734800816,not_fdr_significant
remember,beta_frontoparietal_diff,-0.0004816229401669,-0.0011868798601503,0.9318645678505734,not_fdr_significant
remember,beta_abs,0.0058254016788378,0.0175784192476756,0.2888167647544805,not_fdr_significant
remember,delta_parietal,-0.2250862982627182,-0.0372919849166802,0.0286871524647912,statistically_significant_small
remember,beta_central,0.0062002185686043,0.0299242403666285,0.075235628328045,not_fdr_significant
remember,delta_abs,-0.3359921307783562,-0.0306508017913887,0.075235628328045,not_fdr_significant
remember,alpha_beta_occipital_ratio,-0.3011693679807816,-0.0258828177785306,0.1480707834853794,not_fdr_significant
remember,beta_frontoparietal_ratio,-0.0463761073516613,-0.0227937422186211,0.1999256381151888,not_fdr_significant
remember,beta_occipital,0.0124622517896336,0.0232360755883752,0.1912390089786783,not_fdr_significant
remember,theta_alpha_occipital_ratio,0.0298974587509148,0.0102828802101789,0.5208818257007937,not_fdr_significant
remember,delta_frontoparietal_ratio,0.0091484223653113,0.0075561753071401,0.6195672198226734,not_fdr_significant
remember,theta_alpha_parietal_ratio,-0.021540623757889,-0.014089596638575,0.393430396838869,not_fdr_significant
remember,alpha_frontoparietal_diff,0.0684199667011435,0.0178989658652217,0.288006678655872,not_fdr_significant
remember,alpha_frontoparietal_ratio,0.0066978027009623,0.0171278030209513,0.2988155563626926,not_fdr_significant
remember,delta_temporal,-0.3563561735405196,-0.0468236166143879,0.0055163795352057,statistically_significant_small
remember,gamma_abs,0.0061325332000337,0.0285148435528455,0.091290198291162,not_fdr_significant
remember,delta_occipital,0.4747954999468851,0.0174170614251832,0.288006678655872,not_fdr_significant
remember,gamma_rel,0.0002476360551346,0.0075791241470586,0.6195672198226734,not_fdr_significant
remember,beta_rel,0.0014700022763138,0.032473857696238,0.0624524551161886,not_fdr_significant
remember,alpha_occipital,0.0827543413084308,0.0076152108796948,0.6195672198226734,not_fdr_significant
remember,gamma_central,0.0055102751278641,0.0350651750312705,0.0298705373269322,statistically_significant_small
remember,gamma_frontal,0.0004946483939569,0.001376924039651,0.9318645678505734,not_fdr_significant
remember,theta_alpha_frontal_ratio,-0.0374592341778501,-0.0186542458605755,0.27700194077565,not_fdr_significant
remember,theta_alpha_ratio,-0.0195697834671273,-0.0136997910549058,0.3941173734800816,not_fdr_significant
remember,theta_alpha_temporal_ratio,-0.0404204162061454,-0.0205651245509221,0.2325156448518141,not_fdr_significant
remember,alpha_beta_temporal_ratio,-0.0396094661899448,-0.0080214744846278,0.6195672198226734,not_fdr_significant
remember,beta_frontal,0.0049532286329431,0.0111369292690498,0.4906610496685583,not_fdr_significant
remember,theta_alpha_central_ratio,-0.0040230730696786,-0.0026636156982537,0.8787550533952064,not_fdr_significant
