final_rank,feature,feature_group,frequency_band,region,final_evidence_score,final_evidence_class,evidence_level,perturbation_significant,perturbation_min_p,perturbation_max_abs_d,cross_target_pattern,ml_mean_importance,ml_max_importance,ml_mean_sign_consistency,loso_stable_count,loso_rows,loso_stability_rate,loso_mean_effect,null_significant,null_min_p,r_fdr_significant,r_min_p,score_perturbation,score_ml,score_loso,score_consistency,score_r,score_null,top_10_flag,top_20_flag
15,gamma_temporal,Regional Band Power,Gamma,Temporal,0.4807225511381773,limited_multilayer_evidence,Low,1,4.008837981489088e-23,0.2249658894032735,weak_cross_target_pattern,0.0034077225873289,0.0034522375979122,0.9,0,46,0.0,-0.0466593664672606,0,1.0,0,0.466558886075305,1.0,0.2270477087125688,0.2515650469783175,0.9,0.0,0.0,0,1
16,alpha_central,Regional Band Power,Alpha,Central,0.4675582677241904,limited_multilayer_evidence,Low,2,4.1929927970589225e-08,0.1548613622822838,target_dissociated,0.0035680824954707,0.0050531441419066,0.8,0,46,0.0,0.0137260488261305,0,1.0,0,0.9287087233441628,0.684643229452463,0.2389020003124607,0.6430853014929123,0.8,0.0,0.0,0,1
17,alpha_beta_ratio,Frequency Ratio,Alpha,Global / Mixed,0.4652910241224007,limited_multilayer_evidence,Low,1,0.0009296003114551,0.1115741527988019,target_dissociated,0.0050884073262485,0.0052606730495385,0.9,0,46,0.0,0.0206171294025949,0,1.0,0,0.9086975917369357,0.4899209319157265,0.3512890307082364,0.6877649250091092,0.9,0.0,0.0,0,1
18,theta_occipital,Regional Band Power,Theta,Occipital,0.4645002133460882,limited_multilayer_evidence,Low,1,0.0001541677604189,0.1035544831678395,target_dissociated,0.0042180341234053,0.0045052947910133,0.9,0,46,0.0,0.0368857959541981,0,1.0,0,0.9086975917369357,0.4538454141205106,0.2869483992699156,0.7932458998098875,0.9,0.0,0.0,0,1
19,delta_parietal,Regional Band Power,Delta,Parietal,0.4584281565586073,limited_multilayer_evidence,Low,2,0.0041829227699469,0.1212282540480741,target_shared,0.0024990489715959,0.0049431207432994,1.0,0,46,0.0,0.0249069918475653,0,1.0,0,0.6214886304460292,0.5333487434642604,0.1598757943928029,0.7155790590699085,1.0,0.0,0.0,0,1
20,delta_frontoparietal_diff,Regional Difference / Ratio,Delta,Frontoparietal,0.4547606473365134,limited_multilayer_evidence,Low,1,0.0029074766612216,0.1362394741852295,target_shared,0.001944859825804,0.0038042037104204,0.9,0,46,0.0,0.026946277234943,0,1.0,0,0.5827241271031729,0.6008749090178988,0.1189084490516963,0.7288011513584973,0.9,0.0,0.0,0,1
21,gamma_parietal,Regional Band Power,Gamma,Parietal,0.4547090579222357,limited_multilayer_evidence,Low,2,1.0619820128413021e-07,0.1242595828151386,weak_cross_target_pattern,0.0059840039699558,0.0065404925825764,1.0,0,46,0.0,-0.0203232832690482,0,1.0,0,0.466558886075305,0.5469848107727167,0.4174942555266634,0.4223200206186189,1.0,0.0,0.0,0,0
22,theta_temporal,Regional Band Power,Theta,Temporal,0.4442358361471225,limited_multilayer_evidence,Low,2,5.245038754930327e-06,0.113538613324556,target_dissociated,0.0027532878753972,0.0039065458494627,0.7,0,46,0.0,0.0524349837315034,0,1.0,0,0.5827241271031729,0.4987578209543011,0.1786699065659773,0.8940619979767589,0.7,0.0,0.0,0,0
23,beta_frontoparietal_diff,Regional Difference / Ratio,Beta,Frontoparietal,0.4436549310067591,limited_multilayer_evidence,Low,1,0.0029946881408546,0.1295457666058473,weak_cross_target_pattern,0.0071649368344698,0.0073560628956703,0.7,0,46,0.0,-0.0121940926501793,0,1.0,0,0.6349833785131213,0.5707640717879372,0.5047924006681889,0.4750271646306853,0.7,0.0,0.0,0,0
24,delta_rel,Relative Band Power,Delta,Global / Mixed,0.4427877081476161,limited_multilayer_evidence,Low,1,1.1110858625283166e-08,0.208296811598445,weak_cross_target_pattern,0.0007158512910718,0.0012361910031705,0.9,0,46,0.0,-0.0307661169243311,0,1.0,0,0.9479616358853572,0.9250161614318564,0.0280564043087639,0.3546119346394964,0.9,0.0,0.0,0,0
25,delta_central,Regional Band Power,Delta,Central,0.4177430867271011,limited_multilayer_evidence,Low,1,0.0020622242878812,0.1334880864554219,target_shared,0.0003982105572552,0.0005051622937751,1.0,0,46,0.0,0.0068521908506547,0,1.0,0,0.6982259522172423,0.5884981227441852,0.0045754362395168,0.5985173439657571,1.0,0.0,0.0,0,0
26,theta_frontoparietal_ratio,Regional Difference / Ratio,Theta,Frontoparietal,0.4162455886824682,limited_multilayer_evidence,Low,1,0.0001240276747523,0.1436826853394754,target_dissociated,0.0015131245254845,0.0023848436794597,1.0,0,46,0.0,-0.0158554507689323,0,1.0,0,0.6905891322702242,0.6343572977950938,0.0869932639954159,0.4512880571730579,1.0,0.0,0.0,0,0
27,gamma_occipital,Regional Band Power,Gamma,Occipital,0.4014626468687269,limited_multilayer_evidence,Low,2,1.877013265290833e-17,0.121482354178585,weak_cross_target_pattern,0.0057535301373809,0.0094623447738502,0.8,0,46,0.0,-0.0332138527296109,0,1.0,0,0.5827241271031729,0.5344917822927704,0.4004569296192949,0.3387415768583766,0.8,0.0,0.0,0,0
28,gamma_frontoparietal_ratio,Regional Difference / Ratio,Gamma,Frontoparietal,0.3940185122507723,limited_multilayer_evidence,Low,2,0.0020622242878812,0.1110780447761194,target_shared,0.0009299386728895,0.0010375978008295,0.9,0,46,0.0,0.013496750907051,0,1.0,0,0.9086975917369357,0.4876892497362595,0.0438823939924215,0.6415986050911155,0.9,0.0,0.0,0,0
29,theta_frontoparietal_diff,Regional Difference / Ratio,Theta,Frontoparietal,0.3936403847765351,limited_multilayer_evidence,Low,2,0.000323467232544,0.0980979543414767,target_dissociated,0.0024888726169346,0.0033190165699001,0.9,0,46,0.0,0.0066881186657382,0,1.0,0,0.8955378083445141,0.4292998764819561,0.1591235273394143,0.5974535509408161,0.9,0.0,0.0,0,0
30,alpha_rel,Relative Band Power,Alpha,Global / Mixed,0.3914867507155776,limited_multilayer_evidence,Low,1,0.0001465080516652,0.1294403336185308,weak_cross_target_pattern,0.0004776984197269,0.0008967809712943,0.7,0,46,0.0,0.0239108045327995,0,1.0,0,0.9287087233441628,0.5702897941948236,0.0104514205258028,0.7091200903085559,0.7,0.0,0.0,0,0
31,theta_alpha_occipital_ratio,Frequency Ratio,Theta,Occipital,0.3848053023407292,limited_multilayer_evidence,Low,1,0.0288426366003303,0.056103224729366,target_preferential,0.0013420988694812,0.0014544808046511,0.9,0,46,0.0,0.049369511429232,0,1.0,0,0.5827241271031729,0.2403916439560266,0.0743505279099526,0.8741864288486599,0.9,0.0,0.0,0,0
32,alpha_frontal,Regional Band Power,Alpha,Frontal,0.3725426889913495,limited_multilayer_evidence,Low,1,0.0029946881408546,0.099496406033894,target_dissociated,0.0021939683097671,0.0030381821733048,0.9,0,46,0.0,-0.0074321937544608,0,1.0,0,0.8687825852408293,0.4355906429645021,0.137323305003686,0.5059018362474339,0.9,0.0,0.0,0,0
33,theta_alpha_parietal_ratio,Frequency Ratio,Theta,Parietal,0.3721162612767419,limited_multilayer_evidence,Low,1,0.0488369886158184,0.0563982204593509,target_dissociated,0.0045144717681179,0.0088670576145169,0.6000000000000001,0,46,0.0,0.0378613405217474,0,1.0,0,0.6982259522172423,0.2417186467125362,0.3088619705754091,0.7995710274176302,0.6000000000000001,0.0,0.0,0,0
34,delta_temporal,Regional Band Power,Delta,Temporal,0.3460133546092475,limited_multilayer_evidence,Low,1,0.0055163795352057,0.0468236166143879,target_shared,0.0016653490074815,0.0021545850685452,0.9,0,46,0.0,0.0238167171599136,0,1.0,0,0.5827241271031729,0.1986484446611264,0.0982461601784112,0.708510057041418,0.9,0.0,0.0,0,0
35,beta_frontoparietal_ratio,Regional Difference / Ratio,Beta,Frontoparietal,0.3340741752018699,limited_multilayer_evidence,Low,1,0.0085918631731332,0.0878939764907035,target_preferential,0.0044128902309478,0.0056429818899272,0.6,0,46,0.0,-0.0176319201442358,0,1.0,0,0.9086975917369357,0.3833985112790379,0.3013527547325388,0.4397699821780132,0.6,0.0,0.0,0,0
36,delta_frontoparietal_ratio,Regional Difference / Ratio,Delta,Frontoparietal,0.3316714628110774,limited_multilayer_evidence,Low,1,0.0459357547964619,0.0574309172897982,weak_cross_target_pattern,0.0030330416944707,0.0055052353971673,0.8,0,46,0.0,-0.0004685373283284,0,1.0,0,0.6982259522172423,0.2463641090068968,0.199350158793034,0.5510520190037321,0.8,0.0,0.0,0,0
37,beta_occipital,Regional Band Power,Beta,Occipital,0.316922334413427,limited_multilayer_evidence,Low,1,0.0140042952109003,0.0689181029967217,weak_cross_target_pattern,0.0011811024770591,0.0020136741714408,0.6,0,46,0.0,0.0224448348692571,0,1.0,0,0.7189541462024842,0.2980378301770465,0.0624491854583557,0.6996151988874709,0.6,0.0,0.0,0,0
